#
# Transition date estimate for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 14:12:11
# Spline RMSE gcc_mean: 0.00303
# Spline RMSE gcc_50: 0.00416
# Spline RMSE gcc_75: 0.00446
# Spline RMSE gcc_90: 0.00603
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2017-05-10,2017-05-13,2017-05-19,2017-05-08,2017-05-12,2017-05-17,2017-05-12,2017-05-15,2017-05-20,0.34139,0.35527,0.39811,0.32973,0.44994
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2018-05-06,2018-05-11,2018-05-16,2018-05-05,2018-05-10,2018-05-15,2018-05-08,2018-05-12,2018-05-17,0.33952,0.3606,0.39372,0.33026,0.45394
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2019-05-12,2019-05-16,2019-05-21,2019-05-11,2019-05-15,2019-05-20,2019-05-14,2019-05-18,2019-05-22,0.33981,0.35608,0.38996,0.32977,0.44997
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2017-05-10,2017-05-13,2017-05-19,2017-05-08,2017-05-12,2017-05-17,2017-05-12,2017-05-15,2017-05-20,0.33949,0.35242,0.39325,0.329,0.44516
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2018-05-07,2018-05-11,2018-05-17,2018-05-06,2018-05-10,2018-05-15,2018-05-10,2018-05-13,2018-05-18,0.33871,0.35391,0.39416,0.32971,0.44845
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2019-05-12,2019-05-16,2019-05-21,2019-05-11,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.33837,0.35416,0.38744,0.32904,0.44295
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2017-05-11,2017-05-14,2017-05-19,2017-05-09,2017-05-13,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.33863,0.35316,0.38688,0.32823,0.43786
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-16,2018-05-11,2018-05-14,2018-05-18,0.33762,0.35303,0.38672,0.32878,0.44108
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2019-05-12,2019-05-16,2019-05-21,2019-05-11,2019-05-15,2019-05-20,2019-05-15,2019-05-18,2019-05-22,0.33636,0.35093,0.382,0.32802,0.4351
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_mean,2017-05-11,2017-05-15,2017-05-19,2017-05-09,2017-05-14,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.337,0.35492,0.38651,0.32796,0.43719
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_mean,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-16,2018-05-11,2018-05-14,2018-05-18,0.33754,0.35274,0.38753,0.32851,0.44074
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_mean,2019-05-13,2019-05-17,2019-05-22,2019-05-12,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-23,0.33634,0.35291,0.38577,0.3277,0.43571
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_90,2018-11-08,2018-11-03,2018-10-23,2018-11-10,2018-11-05,2018-10-26,2018-11-05,2018-10-31,2018-10-21,0.34005,0.35464,0.38493,0.32983,0.43882
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_90,2017-11-02,2017-10-30,2017-10-21,2017-11-03,2017-10-31,2017-10-24,2017-10-31,2017-10-28,2017-10-19,0.33696,0.35546,0.38509,0.32918,0.43904
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_75,2018-11-02,2018-10-31,2018-10-24,2018-11-03,2018-11-01,2018-10-27,2018-11-01,2018-10-29,2018-10-23,0.336,0.34844,0.38273,0.3266,0.43326
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_75,2017-11-02,2017-10-30,2017-10-21,2017-11-03,2017-10-31,2017-10-24,2017-10-31,2017-10-29,2017-10-19,0.33487,0.35324,0.38209,0.32715,0.43362
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_50,2018-11-02,2018-10-31,2018-10-26,2018-11-03,2018-11-01,2018-10-28,2018-10-31,2018-10-29,2018-10-25,0.32286,0.33742,0.37148,0.31695,0.4232
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_50,2017-11-02,2017-10-31,2017-10-22,2017-11-03,2017-11-01,2017-10-25,2017-10-31,2017-10-29,2017-10-20,0.33118,0.34417,0.37659,0.32322,0.42738
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_mean,2018-11-01,2018-10-31,2018-10-27,2018-11-02,2018-11-01,2018-10-28,2018-10-31,2018-10-29,2018-10-26,0.32656,0.33639,0.37096,0.31731,0.42446
NEON.D01.HARV.DP1.00033,DB,1000,falling,gcc_mean,2017-11-02,2017-10-31,2017-10-23,2017-11-03,2017-11-01,2017-10-26,2017-11-01,2017-10-30,2017-10-19,0.33093,0.34648,0.37501,0.32381,0.42511
