#
# Transition date estimate for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 14:12:16
# Spline RMSE gcc_mean: 0.00331
# Spline RMSE gcc_50: 0.00346
# Spline RMSE gcc_75: 0.00252
# Spline RMSE gcc_90: 0.00258
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2017-03-25,2017-04-03,2017-04-13,2017-03-21,2017-04-01,2017-04-10,2017-03-30,2017-04-06,2017-04-16,0.37403,0.38102,0.39538,0.36902,0.42074
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2018-04-13,2018-04-21,2018-05-01,2018-04-09,2018-04-19,2018-04-28,2018-04-16,2018-04-24,2018-05-02,0.36259,0.37087,0.38807,0.35692,0.41568
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2019-03-31,2019-04-07,2019-04-16,2019-03-28,2019-04-06,2019-04-14,2019-04-04,2019-04-10,2019-04-18,0.36619,0.37408,0.38988,0.36114,0.41821
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2017-03-28,2017-04-04,2017-04-13,2017-03-23,2017-04-03,2017-04-10,2017-04-02,2017-04-07,2017-04-15,0.37144,0.37752,0.3921,0.36673,0.41615
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2018-04-13,2018-04-22,2018-05-01,2018-04-09,2018-04-19,2018-04-29,2018-04-16,2018-04-24,2018-05-02,0.3611,0.36974,0.38511,0.35555,0.41238
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2019-04-02,2019-04-09,2019-04-18,2019-03-29,2019-04-07,2019-04-15,2019-04-06,2019-04-11,2019-04-19,0.36493,0.37377,0.38917,0.36,0.41539
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2017-03-30,2017-04-05,2017-04-14,2017-03-26,2017-04-03,2017-04-10,2017-04-03,2017-04-07,2017-04-16,0.36794,0.37503,0.38817,0.36368,0.41101
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2018-04-16,2018-04-22,2018-05-02,2018-04-11,2018-04-20,2018-04-29,2018-04-19,2018-04-25,2018-05-04,0.36004,0.36687,0.38251,0.35477,0.40807
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2019-04-05,2019-04-10,2019-04-20,2019-04-01,2019-04-08,2019-04-16,2019-04-08,2019-04-12,2019-04-23,0.36312,0.37103,0.38495,0.35828,0.40979
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2017-03-30,2017-04-04,2017-04-13,2017-03-27,2017-04-03,2017-04-09,2017-04-03,2017-04-07,2017-04-15,0.36584,0.37185,0.38639,0.36162,0.40926
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2018-04-14,2018-04-21,2018-05-01,2018-04-08,2018-04-19,2018-04-28,2018-04-18,2018-04-24,2018-05-02,0.35717,0.36472,0.38037,0.35183,0.40628
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2019-04-04,2019-04-09,2019-04-20,2019-03-31,2019-04-08,2019-04-16,2019-04-07,2019-04-12,2019-04-22,0.36214,0.36891,0.38395,0.35756,0.4085
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_90,2018-12-21,2018-12-05,2018-11-01,2019-01-01,2018-12-09,2018-11-02,2018-12-12,2018-11-30,2018-10-12,0.36412,0.3721,0.38568,0.35903,0.41233
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_90,2017-12-02,2017-11-23,2017-10-13,2017-12-06,2017-11-26,2017-10-15,2017-11-28,2017-11-16,2017-10-12,0.36124,0.36961,0.38617,0.35576,0.41426
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_75,2018-12-20,2018-12-04,2018-10-12,2019-01-03,2018-12-08,2018-10-15,2018-12-12,2018-11-29,2018-10-11,0.36251,0.37054,0.38532,0.3572,0.41116
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_75,2017-12-03,2017-11-22,2017-10-13,2017-12-06,2017-11-26,2017-10-15,2017-11-29,2017-11-16,2017-10-11,0.35974,0.36851,0.38344,0.35452,0.41126
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_50,2018-11-20,2018-11-11,2018-10-10,2018-12-14,2018-11-15,2018-10-13,2018-11-15,2018-11-08,2018-10-09,0.36558,0.37308,0.3863,0.36157,0.40827
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_50,2017-12-08,2017-11-26,2017-10-06,2017-12-15,2017-11-30,2017-10-13,2017-12-02,2017-11-21,2017-09-27,0.35536,0.36379,0.37838,0.34983,0.40692
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_mean,2018-11-20,2018-11-12,2018-10-10,2018-12-15,2018-11-15,2018-10-13,2018-11-16,2018-11-08,2018-10-08,0.36429,0.3711,0.38363,0.36036,0.4059
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_mean,2017-12-05,2017-11-25,2017-10-10,2017-12-10,2017-11-29,2017-10-15,2017-11-30,2017-11-20,2017-10-03,0.35611,0.36432,0.37831,0.35114,0.40477
