#
# Transition date estimate for NEON.D03.OSBS.DP1.00033
#
# Site: NEON.D03.OSBS.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 14:47:48
# Spline RMSE gcc_mean: 0.00149
# Spline RMSE gcc_50: 0.00143
# Spline RMSE gcc_75: 0.00139
# Spline RMSE gcc_90: 0.00181
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2017-05-19,2017-05-27,2017-06-12,2017-05-12,2017-05-23,2017-06-05,2017-05-25,2017-06-01,2017-06-23,0.40489,0.40772,0.41291,0.40312,0.42242
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2018-03-30,2018-05-13,2018-06-14,2018-03-26,2018-05-09,2018-06-08,2018-04-06,2018-05-18,2018-06-18,0.39713,0.40042,0.40608,0.39522,0.41694
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2019-05-13,2019-06-04,2019-06-20,2019-05-09,2019-05-20,2019-06-16,2019-05-20,2019-06-11,2019-06-23,0.39568,0.39903,0.40485,0.39374,0.41501
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2017-05-17,2017-05-26,2017-06-11,2017-04-18,2017-05-23,2017-06-06,2017-05-22,2017-05-30,2017-06-20,0.40228,0.40494,0.40996,0.40038,0.41951
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2018-05-04,2018-05-16,2018-06-18,2018-03-30,2018-05-12,2018-06-14,2018-05-09,2018-05-20,2018-06-20,0.39624,0.39937,0.40498,0.39414,0.41519
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2019-05-12,2019-06-01,2019-06-19,2019-05-10,2019-05-19,2019-06-16,2019-05-16,2019-06-10,2019-06-22,0.39345,0.39674,0.40188,0.39163,0.41212
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2017-05-13,2017-05-23,2017-06-08,2017-03-29,2017-05-19,2017-06-03,2017-05-19,2017-05-27,2017-06-13,0.39902,0.40175,0.40684,0.39712,0.41616
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2018-05-01,2018-05-13,2018-06-18,2018-03-29,2018-05-10,2018-06-13,2018-05-08,2018-05-19,2018-06-21,0.39337,0.39638,0.40208,0.39138,0.41236
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2019-05-12,2019-05-28,2019-06-19,2019-05-09,2019-05-19,2019-06-16,2019-05-17,2019-06-09,2019-06-22,0.39117,0.39436,0.39929,0.38948,0.40901
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2017-05-10,2017-05-23,2017-06-07,2017-03-28,2017-05-19,2017-06-02,2017-05-18,2017-05-27,2017-06-11,0.39835,0.40117,0.40618,0.39654,0.41524
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2018-04-28,2018-05-12,2018-06-17,2018-03-28,2018-05-08,2018-06-12,2018-04-29,2018-05-17,2018-06-21,0.39245,0.39559,0.40095,0.39035,0.41138
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2019-05-12,2019-06-05,2019-06-20,2019-05-09,2019-05-19,2019-06-17,2019-05-17,2019-06-11,2019-06-23,0.39095,0.39395,0.39882,0.38921,0.40835
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_90,2018-11-23,2018-11-14,2018-10-27,2018-12-02,2018-11-17,2018-11-02,2018-11-18,2018-11-09,2018-10-21,0.39395,0.39765,0.40453,0.39162,0.41735
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_90,2017-11-03,2017-10-25,2017-10-09,2017-11-07,2017-10-30,2017-10-14,2017-10-28,2017-10-20,2017-10-03,0.3997,0.40361,0.41026,0.39758,0.42272
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_75,2018-11-23,2018-11-14,2018-10-27,2018-11-29,2018-11-16,2018-11-01,2018-11-19,2018-11-10,2018-10-24,0.39185,0.39543,0.40243,0.38938,0.41496
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_75,2017-11-11,2017-11-02,2017-10-15,2017-11-13,2017-11-06,2017-10-19,2017-11-08,2017-10-29,2017-10-12,0.39411,0.39863,0.40588,0.39179,0.41958
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_50,2018-11-23,2018-11-14,2018-10-28,2018-11-29,2018-11-16,2018-11-02,2018-11-19,2018-11-10,2018-10-24,0.38922,0.39284,0.39971,0.38686,0.41227
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_50,2017-11-12,2017-11-03,2017-10-16,2017-11-14,2017-11-07,2017-10-20,2017-11-09,2017-10-29,2017-10-13,0.39172,0.39585,0.40289,0.38921,0.41624
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_mean,2018-11-23,2018-11-13,2018-10-28,2018-11-30,2018-11-16,2018-11-02,2018-11-19,2018-11-10,2018-10-24,0.38865,0.3924,0.39891,0.38621,0.41112
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_mean,2017-11-11,2017-11-01,2017-10-15,2017-11-13,2017-11-05,2017-10-20,2017-11-07,2017-10-27,2017-10-12,0.39083,0.39507,0.40249,0.38856,0.41558
