#
# Transition date estimate for NEON.D15.ONAQ.DP1.00033
#
# Site: NEON.D15.ONAQ.DP1.00033
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 13:47:34
# Spline RMSE gcc_mean: 0.00081
# Spline RMSE gcc_50: 0.00082
# Spline RMSE gcc_75: 0.00095
# Spline RMSE gcc_90: 0.0012
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_90,2017-03-09,2017-03-16,2017-04-03,2017-03-05,2017-03-14,2017-03-29,2017-03-12,2017-03-19,2017-04-06,0.34591,0.34905,0.35438,0.3439,0.36475
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_90,2019-03-24,2019-04-01,2019-04-10,2019-03-21,2019-03-30,2019-04-08,2019-03-27,2019-04-03,2019-04-11,0.34927,0.35357,0.3612,0.3464,0.37561
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_75,2017-03-07,2017-03-14,2017-03-31,2017-03-05,2017-03-12,2017-03-23,2017-03-11,2017-03-17,2017-04-06,0.34433,0.3476,0.35255,0.34281,0.36221
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_75,2019-03-23,2019-03-31,2019-04-11,2019-03-21,2019-03-30,2019-04-09,2019-03-26,2019-04-03,2019-04-12,0.34815,0.35209,0.35962,0.34569,0.37282
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_50,2017-03-07,2017-03-12,2017-03-25,2017-03-04,2017-03-11,2017-03-21,2017-03-08,2017-03-15,2017-04-05,0.34345,0.34577,0.3506,0.34168,0.35948
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_50,2018-03-28,2018-04-13,2018-05-05,2018-03-27,2018-04-12,2018-05-04,2018-04-01,2018-04-19,2018-05-11,0.34626,0.35026,0.35694,0.34379,0.3698
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_mean,2017-03-07,2017-03-12,2017-03-29,2017-03-04,2017-03-11,2017-03-22,2017-03-09,2017-03-15,2017-04-07,0.34337,0.34577,0.35073,0.34159,0.35983
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_mean,2018-03-29,2018-04-17,2018-05-05,2018-03-28,2018-04-16,2018-05-04,2018-04-01,2018-04-21,2018-05-11,0.34667,0.35056,0.35697,0.34422,0.36968
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_90,2019-10-01,2019-09-18,2019-06-24,2019-10-05,2019-09-21,2019-07-11,2019-09-26,2019-09-13,2019-06-20,0.34613,0.3497,0.35606,0.34386,0.36819
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_90,2018-08-09,2018-07-18,2018-06-02,2018-08-10,2018-07-19,2018-06-03,2018-07-30,2018-06-21,2018-05-30,0.34722,0.35017,0.35527,0.34532,0.36482
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_75,2019-09-16,2019-07-12,2019-06-12,2019-09-19,2019-07-15,2019-06-15,2019-09-11,2019-07-07,2019-06-11,0.34863,0.35264,0.35972,0.3462,0.37229
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_75,2018-06-29,2018-06-17,2018-06-01,2018-06-30,2018-06-18,2018-06-02,2018-06-28,2018-06-11,2018-05-30,0.34637,0.34902,0.35358,0.3446,0.36245
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_50,2019-09-16,2019-07-10,2019-06-14,2019-09-20,2019-07-14,2019-06-16,2019-09-12,2019-06-30,2019-06-12,0.34748,0.35099,0.35725,0.34508,0.36916
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_50,2017-10-01,2017-06-25,2017-06-03,2017-10-07,2017-07-09,2017-06-06,2017-09-16,2017-06-13,2017-06-01,0.34532,0.34772,0.35182,0.34376,0.35964
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_mean,2019-09-17,2019-07-13,2019-06-14,2019-09-20,2019-07-18,2019-06-17,2019-09-13,2019-07-07,2019-06-12,0.34763,0.35119,0.35738,0.34534,0.36885
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_mean,2017-10-01,2017-07-06,2017-06-03,2017-10-07,2017-07-13,2017-06-06,2017-09-19,2017-06-23,2017-06-02,0.34541,0.34781,0.35233,0.34383,0.36006
