#
# Transition date estimate for NEON.D03.DSNY.DP1.00033
#
# Site: NEON.D03.DSNY.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 12:01:00
# Spline RMSE gcc_mean: 0.00176
# Spline RMSE gcc_50: 0.00188
# Spline RMSE gcc_75: 0.00191
# Spline RMSE gcc_90: 0.00217
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2017-06-04,2017-06-11,2017-06-27,2017-06-02,2017-06-09,2017-06-24,2017-06-07,2017-06-16,2017-06-29,0.32993,0.33674,0.34958,0.32571,0.37247
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2018-04-21,2018-05-14,2018-05-24,2018-04-16,2018-05-12,2018-05-21,2018-05-09,2018-05-17,2018-05-25,0.33339,0.34059,0.35676,0.32813,0.38206
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2019-04-06,2019-04-10,2019-05-07,2019-04-05,2019-04-09,2019-05-05,2019-04-08,2019-04-12,2019-05-08,0.34078,0.35184,0.37575,0.33304,0.41694
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2017-06-05,2017-06-14,2017-06-27,2017-06-03,2017-06-11,2017-06-24,2017-06-09,2017-06-17,2017-06-29,0.32947,0.33669,0.3477,0.32591,0.36932
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2018-04-20,2018-05-14,2018-05-23,2018-04-16,2018-05-13,2018-05-21,2018-04-27,2018-05-16,2018-05-24,0.33142,0.33874,0.35344,0.32668,0.37826
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2019-04-06,2019-04-11,2019-05-07,2019-04-05,2019-04-10,2019-05-05,2019-04-08,2019-04-12,2019-05-08,0.33958,0.35254,0.3736,0.33338,0.41199
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2017-06-05,2017-06-12,2017-06-26,2017-06-03,2017-06-10,2017-06-23,2017-06-08,2017-06-16,2017-06-29,0.32793,0.334,0.34518,0.32378,0.36656
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2018-04-20,2018-05-14,2018-05-22,2018-04-16,2018-05-13,2018-05-20,2018-04-25,2018-05-16,2018-05-24,0.33007,0.33707,0.35016,0.32548,0.37458
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2019-04-06,2019-04-11,2019-05-07,2019-04-05,2019-04-10,2019-05-05,2019-04-08,2019-04-13,2019-05-08,0.33743,0.34994,0.37116,0.3316,0.40875
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2017-06-04,2017-06-12,2017-06-26,2017-06-03,2017-06-09,2017-06-23,2017-06-07,2017-06-15,2017-06-28,0.32621,0.33371,0.34536,0.32274,0.36697
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2018-04-20,2018-05-14,2018-05-23,2018-04-16,2018-05-13,2018-05-20,2018-04-24,2018-05-16,2018-05-24,0.33013,0.33691,0.3517,0.32518,0.37501
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2019-04-06,2019-04-11,2019-05-07,2019-04-05,2019-04-10,2019-05-05,2019-04-08,2019-04-13,2019-05-08,0.33738,0.35003,0.37135,0.33169,0.40824
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_90,2018-11-20,2018-10-27,2018-10-14,2018-11-24,2018-10-30,2018-10-18,2018-11-16,2018-10-23,2018-10-11,0.33194,0.33902,0.3514,0.32804,0.37356
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_90,2017-10-30,2017-10-24,2017-10-10,2017-11-02,2017-10-26,2017-10-14,2017-10-27,2017-10-21,2017-10-07,0.33169,0.33808,0.34985,0.32746,0.37132
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_75,2018-11-19,2018-10-26,2018-10-13,2018-11-22,2018-10-29,2018-10-16,2018-11-15,2018-10-23,2018-10-10,0.33103,0.33767,0.34945,0.32701,0.37129
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_75,2017-10-30,2017-10-24,2017-10-11,2017-11-01,2017-10-26,2017-10-14,2017-10-27,2017-10-22,2017-10-08,0.32986,0.33646,0.34717,0.32608,0.36776
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_50,2018-11-19,2018-10-27,2018-10-15,2018-11-23,2018-10-30,2018-10-18,2018-11-15,2018-10-24,2018-10-12,0.32919,0.33547,0.3465,0.32529,0.36755
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_50,2017-10-31,2017-10-25,2017-10-10,2017-11-03,2017-10-26,2017-10-14,2017-10-27,2017-10-22,2017-10-08,0.32774,0.33371,0.34609,0.32425,0.36645
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_mean,2018-11-19,2018-10-27,2018-10-15,2018-11-22,2018-10-30,2018-10-18,2018-11-15,2018-10-24,2018-10-12,0.32908,0.33537,0.34677,0.32506,0.36778
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_mean,2017-10-31,2017-10-25,2017-10-11,2017-11-03,2017-10-26,2017-10-14,2017-10-28,2017-10-22,2017-10-09,0.32759,0.33378,0.34567,0.32392,0.36677
