#
# Transition date estimate for NEON.D16.ABBY.DP1.00033
#
# Site: NEON.D16.ABBY.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2019-10-16
# Final Processing Time: 13:25:45
# Spline RMSE gcc_mean: 0.00379
# Spline RMSE gcc_50: 0.00444
# Spline RMSE gcc_75: 0.004
# Spline RMSE gcc_90: 0.00386
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_90,2018-05-10,2018-05-16,2018-05-23,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.39117,0.39593,0.40524,0.3879,0.42214
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_90,2019-05-11,2019-05-17,2019-05-25,2019-04-01,2019-05-14,2019-05-21,2019-05-16,2019-05-20,2019-05-27,0.39202,0.39697,0.40654,0.3892,0.42164
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_75,2018-05-12,2018-05-18,2018-05-24,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38995,0.39469,0.40326,0.38704,0.41909
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_75,2019-05-11,2019-05-17,2019-05-25,2019-04-01,2019-05-14,2019-05-21,2019-05-16,2019-05-20,2019-05-27,0.3893,0.39387,0.40335,0.3861,0.41904
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_50,2018-05-31,2018-06-04,2018-06-08,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38878,0.39332,0.40127,0.3859,0.41633
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_50,2019-05-07,2019-05-16,2019-05-24,2019-03-28,2019-05-11,2019-05-20,2019-05-15,2019-05-20,2019-05-27,0.38489,0.3895,0.39839,0.38156,0.41506
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_mean,2018-05-14,2018-05-18,2018-06-01,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38662,0.39016,0.40019,0.38401,0.41383
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_mean,2019-05-10,2019-05-17,2019-05-25,2019-03-29,2019-05-13,2019-05-21,2019-05-16,2019-05-20,2019-05-28,0.38468,0.38969,0.39855,0.38198,0.41338
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2018-10-13,2018-10-08,2018-09-10,2018-10-18,2018-10-10,2018-09-26,2018-10-12,2018-10-05,2018-08-20,0.39053,0.39522,0.40328,0.38797,0.41858
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2017-10-21,2017-10-05,2017-08-24,2017-11-27,2017-10-09,2017-08-31,2017-10-06,2017-10-01,2017-07-25,0.39328,0.39781,0.40701,0.38993,0.4236
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2018-10-15,2018-10-09,2018-09-07,2018-11-15,2018-10-12,2018-09-22,2018-10-14,2018-10-05,2018-08-22,0.3869,0.39119,0.40024,0.38417,0.41629
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2017-10-17,2017-10-03,2017-08-24,2017-10-23,2017-10-07,2017-09-01,2017-10-04,2017-09-29,2017-08-17,0.38939,0.39425,0.40301,0.38628,0.4194
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2018-10-14,2018-10-08,2018-09-02,2018-11-24,2018-10-11,2018-09-19,2018-10-13,2018-09-28,2018-08-20,0.38416,0.38809,0.39666,0.3813,0.41175
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2017-10-15,2017-09-30,2017-08-19,2017-10-21,2017-10-06,2017-09-04,2017-10-14,2017-09-21,2017-07-21,0.38601,0.39066,0.39927,0.38302,0.41536
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2018-10-17,2018-10-09,2018-09-05,2018-11-23,2018-10-13,2018-09-22,2018-10-16,2018-10-03,2018-08-19,0.38342,0.38721,0.39589,0.3805,0.41106
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2017-10-15,2017-10-02,2017-08-20,2017-10-25,2017-10-09,2017-09-04,2017-10-14,2017-09-26,2017-07-22,0.38568,0.39064,0.39887,0.3827,0.41446
