#
# Transition date estimate for NEON.D16.ABBY.DP1.00033
#
# Site: NEON.D16.ABBY.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:55:25
# Spline RMSE gcc_mean: 0.00413
# Spline RMSE gcc_50: 0.00514
# Spline RMSE gcc_75: 0.0047
# Spline RMSE gcc_90: 0.00456
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_90,2018-05-10,2018-05-16,2018-05-22,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.39147,0.39639,0.40533,0.38856,0.42191
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_90,2019-05-11,2019-05-17,2019-05-24,2019-04-02,2019-05-13,2019-05-21,2019-05-17,2019-05-21,2019-05-28,0.39218,0.39711,0.40551,0.38956,0.42145
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_75,2018-05-13,2018-05-17,2018-05-24,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.39065,0.39467,0.40368,0.38752,0.41885
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_75,2019-05-11,2019-05-17,2019-05-25,2019-04-01,2019-05-13,2019-05-21,2019-05-17,2019-05-21,2019-05-28,0.38943,0.39402,0.40363,0.38653,0.4191
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_50,2018-05-30,2018-06-03,2018-06-08,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38796,0.39359,0.40198,0.3862,0.41592
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_50,2019-05-07,2019-05-16,2019-05-24,2019-03-27,2019-05-11,2019-05-20,2019-05-16,2019-05-21,2019-05-28,0.38514,0.38963,0.39871,0.38198,0.41509
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_mean,2018-05-14,2018-05-18,2018-06-01,2018-05-02,2018-05-02,2018-05-02,2018-06-10,2018-06-10,2018-06-10,0.38641,0.3905,0.40002,0.38398,0.4142
NEON.D16.ABBY.DP1.00033,EN,1000,rising,gcc_mean,2019-05-10,2019-05-17,2019-05-25,2019-03-27,2019-05-12,2019-05-20,2019-05-17,2019-05-21,2019-05-28,0.3845,0.38962,0.39873,0.38168,0.41378
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2019-10-25,2019-10-21,2019-09-22,2019-10-29,2019-10-24,2019-10-01,2019-10-24,2019-10-13,2019-08-22,0.38909,0.39442,0.40369,0.38566,0.42122
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2018-10-12,2018-10-08,2018-09-09,2018-11-22,2018-10-11,2018-09-29,2018-10-11,2018-10-02,2018-08-14,0.39072,0.39495,0.40353,0.3877,0.41908
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_90,2017-10-19,2017-10-05,2017-08-23,2017-11-27,2017-10-11,2017-09-01,2017-10-06,2017-10-01,2017-07-24,0.39321,0.39829,0.40729,0.38982,0.42409
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2019-10-25,2019-10-20,2019-09-19,2019-10-28,2019-10-23,2019-09-30,2019-10-24,2019-10-11,2019-08-21,0.38646,0.39247,0.40123,0.38389,0.41844
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2018-10-14,2018-10-08,2018-09-06,2018-11-18,2018-10-12,2018-09-28,2018-10-13,2018-10-02,2018-08-16,0.38719,0.3923,0.40053,0.38419,0.41668
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_75,2017-10-14,2017-10-04,2017-08-24,2017-11-29,2017-10-10,2017-09-03,2017-10-05,2017-09-28,2017-08-12,0.38979,0.3945,0.40315,0.38671,0.41885
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2019-10-24,2019-10-18,2019-09-18,2019-10-29,2019-10-23,2019-09-29,2019-10-19,2019-09-30,2019-08-21,0.38372,0.38884,0.3977,0.38078,0.41433
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2018-10-13,2018-10-07,2018-09-04,2018-11-23,2018-10-12,2018-09-28,2018-10-12,2018-09-25,2018-08-17,0.38429,0.38885,0.39632,0.3815,0.41105
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_50,2017-10-11,2017-09-29,2017-08-16,2017-10-21,2017-10-08,2017-09-04,2017-10-01,2017-09-17,2017-07-18,0.38646,0.3912,0.39991,0.38333,0.41593
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2019-10-24,2019-10-18,2019-09-19,2019-10-28,2019-10-23,2019-09-29,2019-10-19,2019-09-29,2019-08-19,0.38335,0.38831,0.39662,0.38048,0.41274
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2018-10-14,2018-10-09,2018-09-04,2018-11-27,2018-10-13,2018-10-05,2018-10-13,2018-10-02,2018-08-12,0.38287,0.3874,0.39584,0.38046,0.4108
NEON.D16.ABBY.DP1.00033,EN,1000,falling,gcc_mean,2017-10-16,2017-10-02,2017-08-22,2017-12-02,2017-10-10,2017-09-27,2017-10-02,2017-09-25,2017-07-21,0.38582,0.39045,0.39847,0.38276,0.414
