"date","pixel","ndvi_raw","ndvi_qc","type","ndvi_filtered"
2000-02-18,"44_44",0.0286,2062,"TERA",NA
2000-03-05,"44_44",NA,2062,"TERA",NA
2000-03-21,"44_44",0.7973,2112,"TERA",NA
2000-04-06,"44_44",0.7798,2112,"TERA",NA
2000-04-22,"44_44",0.9187,2058,"TERA",NA
2000-05-08,"44_44",0.5292,3094,"TERA",NA
2000-05-24,"44_44",0.7526,2112,"TERA",NA
2000-06-09,"44_44",0.8546,2112,"TERA",NA
2000-06-25,"44_44",0.8382,2112,"TERA",NA
2000-07-11,"44_44",0.8388,2172,"TERA",NA
2000-07-27,"44_44",0.8695,2112,"TERA",NA
2000-08-12,"44_44",0.9339,2181,"TERA",NA
2000-08-28,"44_44",0.8492,2112,"TERA",NA
2000-09-13,"44_44",0.8503,2112,"TERA",NA
2000-09-29,"44_44",0.8392,2112,"TERA",NA
2000-10-15,"44_44",0.8408,2112,"TERA",NA
2000-10-31,"44_44",0.8619,2116,"TERA",NA
2000-11-16,"44_44",0.7536,2185,"TERA",NA
2000-12-02,"44_44",0.6655,2120,"TERA",0.6655
2000-12-18,"44_44",0.8791,2120,"TERA",0.8791
2001-01-01,"44_44",0.8791,2116,"TERA",NA
2001-01-17,"44_44",0.8284,2116,"TERA",NA
2001-02-02,"44_44",0.8243,2116,"TERA",NA
2001-02-18,"44_44",0.8385,2112,"TERA",NA
2001-03-06,"44_44",0.827,2112,"TERA",NA
2001-03-22,"44_44",0.8189,2112,"TERA",NA
2001-04-07,"44_44",0.0553,2058,"TERA",NA
2001-04-23,"44_44",0.7605,2112,"TERA",NA
2001-05-09,"44_44",0.7719,2112,"TERA",NA
2001-05-25,"44_44",0.8362,2112,"TERA",NA
2001-06-10,"44_44",0.1172,2058,"TERA",NA
2001-06-26,"44_44",0.8689,2112,"TERA",NA
2001-07-12,"44_44",0.8618,2112,"TERA",NA
2001-07-28,"44_44",0.8781,2112,"TERA",NA
2001-08-13,"44_44",0.8693,2112,"TERA",NA
2001-08-29,"44_44",0.8609,2112,"TERA",NA
2001-09-14,"44_44",0.8784,2112,"TERA",NA
2001-09-30,"44_44",0.8757,2112,"TERA",NA
2001-10-16,"44_44",0.8575,2112,"TERA",NA
