#
# Transition date estimate for NEON.D03.DSNY.DP1.00033
#
# Site: NEON.D03.DSNY.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:59:33
# Spline RMSE gcc_mean: 0.00158
# Spline RMSE gcc_50: 0.00169
# Spline RMSE gcc_75: 0.00172
# Spline RMSE gcc_90: 0.00198
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2017-06-05,2017-06-13,2017-06-28,2017-06-03,2017-06-10,2017-06-25,2017-06-08,2017-06-17,2017-06-30,0.33077,0.33805,0.35058,0.32649,0.37276
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2018-04-20,2018-05-14,2018-05-23,2018-04-16,2018-05-12,2018-05-21,2018-04-27,2018-05-17,2018-05-25,0.33299,0.34059,0.35536,0.32792,0.38206
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_90,2019-04-06,2019-04-10,2019-05-07,2019-04-05,2019-04-09,2019-05-05,2019-04-07,2019-04-12,2019-05-08,0.34112,0.35139,0.37616,0.33316,0.41702
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2017-06-05,2017-06-13,2017-06-27,2017-06-03,2017-06-11,2017-06-24,2017-06-08,2017-06-17,2017-06-29,0.32926,0.33604,0.34771,0.32555,0.36925
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2018-04-20,2018-05-14,2018-05-23,2018-04-16,2018-05-13,2018-05-21,2018-04-26,2018-05-16,2018-05-24,0.33142,0.33874,0.35373,0.32664,0.37826
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_75,2019-04-05,2019-04-10,2019-05-06,2019-04-04,2019-04-09,2019-05-04,2019-04-07,2019-04-12,2019-05-07,0.33771,0.34974,0.37184,0.33108,0.41094
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2017-06-04,2017-06-12,2017-06-26,2017-06-02,2017-06-09,2017-06-23,2017-06-07,2017-06-15,2017-06-28,0.32689,0.334,0.3452,0.32342,0.36621
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2018-04-20,2018-05-14,2018-05-22,2018-04-17,2018-05-13,2018-05-20,2018-04-25,2018-05-16,2018-05-23,0.33007,0.33707,0.35051,0.32544,0.37458
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_50,2019-04-06,2019-04-11,2019-05-07,2019-04-05,2019-04-10,2019-05-05,2019-04-08,2019-04-13,2019-05-08,0.33782,0.34977,0.37147,0.3322,0.40945
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2017-06-04,2017-06-11,2017-06-25,2017-06-02,2017-06-09,2017-06-23,2017-06-07,2017-06-14,2017-06-27,0.32608,0.33293,0.34446,0.322,0.36666
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2018-04-19,2018-05-14,2018-05-22,2018-04-16,2018-05-13,2018-05-20,2018-04-24,2018-05-16,2018-05-23,0.32957,0.33691,0.35043,0.32514,0.37501
NEON.D03.DSNY.DP1.00033,GR,1000,rising,gcc_mean,2019-04-06,2019-04-11,2019-05-07,2019-04-05,2019-04-10,2019-05-05,2019-04-08,2019-04-13,2019-05-08,0.33775,0.34978,0.37169,0.33214,0.40799
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_90,2019-11-15,2019-10-30,2019-10-08,2019-11-17,2019-11-03,2019-10-12,2019-11-12,2019-10-26,2019-10-05,0.344,0.35548,0.37435,0.33717,0.41062
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_90,2018-11-20,2018-10-27,2018-10-14,2018-11-23,2018-10-30,2018-10-18,2018-11-16,2018-10-24,2018-10-11,0.33232,0.33897,0.3514,0.32812,0.37352
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_90,2017-10-30,2017-10-24,2017-10-10,2017-11-02,2017-10-26,2017-10-14,2017-10-27,2017-10-21,2017-10-08,0.33164,0.33785,0.3498,0.32748,0.3711
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_75,2019-11-16,2019-11-01,2019-10-05,2019-11-18,2019-11-04,2019-10-09,2019-11-14,2019-10-27,2019-09-27,0.3408,0.35212,0.37247,0.33294,0.41176
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_75,2018-11-19,2018-10-26,2018-10-13,2018-11-23,2018-10-29,2018-10-16,2018-11-15,2018-10-23,2018-10-11,0.33121,0.33776,0.34948,0.32691,0.37108
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_75,2017-10-30,2017-10-24,2017-10-11,2017-11-01,2017-10-26,2017-10-14,2017-10-28,2017-10-22,2017-10-09,0.32987,0.33611,0.34698,0.32605,0.36742
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_50,2019-11-16,2019-11-01,2019-09-29,2019-11-18,2019-11-04,2019-10-08,2019-11-14,2019-10-27,2019-09-26,0.3387,0.34974,0.36938,0.33116,0.40707
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_50,2018-11-19,2018-10-27,2018-10-15,2018-11-23,2018-10-29,2018-10-18,2018-11-15,2018-10-24,2018-10-12,0.32919,0.33536,0.34651,0.32527,0.36764
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_50,2017-10-31,2017-10-24,2017-10-10,2017-11-03,2017-10-26,2017-10-13,2017-10-28,2017-10-22,2017-10-08,0.32773,0.33452,0.3458,0.32419,0.36651
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_mean,2019-10-31,2019-10-17,2019-09-23,2019-11-02,2019-10-18,2019-09-25,2019-10-27,2019-10-14,2019-09-22,0.34994,0.35934,0.37659,0.34413,0.40754
NEON.D03.DSNY.DP1.00033,GR,1000,falling,gcc_mean,2018-11-19,2018-10-27,2018-10-15,2018-11-22,2018-10-29,2018-10-18,2018-11-15,2018-10-24,2018-10-13,0.32915,0.33527,0.34679,0.32517,0.36779
