"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2000-02-18,"44_43",0.254,2112,"TERA",NA
2000-03-05,"44_43",0.2423,2172,"TERA",NA
2000-03-21,"44_43",0.2835,4160,"TERA",NA
2000-04-06,"44_43",0.3422,2112,"TERA",NA
2000-04-22,"44_43",0.411,2112,"TERA",NA
2000-05-08,"44_43",0.3947,4160,"TERA",NA
2000-05-24,"44_43",0.3954,4164,"TERA",NA
2000-06-09,"44_43",0.3738,2181,"TERA",NA
2000-06-25,"44_43",0.4283,2112,"TERA",NA
2000-07-11,"44_43",0.441,4229,"TERA",NA
2000-07-27,"44_43",0.4949,2181,"TERA",NA
2000-08-12,"44_43",0.4576,2112,"TERA",NA
2000-08-28,"44_43",0.4159,37141,"TERA",NA
2000-09-13,"44_43",0.3693,4160,"TERA",NA
2000-09-29,"44_43",0.3843,37009,"TERA",NA
2000-10-15,"44_43",0.3437,2112,"TERA",NA
2000-10-31,"44_43",0.3109,2112,"TERA",NA
2000-11-16,"44_43",0.3044,2112,"TERA",NA
2000-12-02,"44_43",0.285,2112,"TERA",NA
2000-12-18,"44_43",0.2701,2116,"TERA",NA
2001-01-01,"44_43",0.0586,4160,"TERA",NA
2001-01-17,"44_43",0.138,4229,"TERA",NA
2001-02-02,"44_43",0.1647,2112,"TERA",NA
2001-02-18,"44_43",0.2781,4164,"TERA",NA
2001-03-06,"44_43",0.2947,2112,"TERA",NA
2001-03-22,"44_43",0.334,2112,"TERA",NA
2001-04-07,"44_43",0.401,2112,"TERA",NA
2001-04-23,"44_43",0.3976,2181,"TERA",NA
2001-05-09,"44_43",0.3936,2112,"TERA",NA
2001-05-25,"44_43",0.3553,2112,"TERA",NA
2001-06-10,"44_43",0.4322,2441,"TERA",NA
2001-06-26,"44_43",0.487,2318,"TERA",NA
2001-07-12,"44_43",0.4111,4229,"TERA",NA
2001-07-28,"44_43",0.3083,36936,"TERA",NA
2001-08-13,"44_43",0.3501,4229,"TERA",NA
2001-08-29,"44_43",0.3168,4369,"TERA",NA
2001-09-14,"44_43",0.3466,2112,"TERA",NA
2001-09-30,"44_43",0.3229,2112,"TERA",NA
2001-10-16,"44_43",0.3135,2112,"TERA",NA
2001-11-01,"44_43",0.2967,4160,"TERA",NA
2001-11-17,"44_43",0.2275,2112,"TERA",NA
2001-12-03,"44_43",0.2774,4160,"TERA",NA
2001-12-19,"44_43",0.2976,4168,"TERA",0.2976
2002-01-01,"44_43",0.2054,2112,"TERA",NA
2002-01-17,"44_43",0.1432,2112,"TERA",NA
2002-02-02,"44_43",0.2337,2112,"TERA",NA
2002-02-18,"44_43",0.2259,2112,"TERA",NA
2002-03-06,"44_43",0.2702,2112,"TERA",NA
2002-03-22,"44_43",0.3328,2181,"TERA",NA
2002-04-07,"44_43",0.299,4160,"TERA",NA
2002-04-23,"44_43",0.2308,2181,"TERA",NA
2002-05-09,"44_43",0.3984,35148,"TERA",NA
2002-05-25,"44_43",0.4549,2181,"TERA",NA
2002-06-10,"44_43",0.5645,4110,"TERA",NA
2002-06-26,"44_43",0.4178,4160,"TERA",NA
2002-07-12,"44_43",0.4643,4305,"TERA",NA
2002-07-28,"44_43",0.4155,4160,"TERA",NA
2002-08-13,"44_43",0.0566,2441,"TERA",NA
2002-08-29,"44_43",0.366,4164,"TERA",NA
2002-09-14,"44_43",0.376,37009,"TERA",NA
2002-09-30,"44_43",0.3401,2112,"TERA",NA
2002-10-16,"44_43",0.3446,4160,"TERA",NA
2002-11-01,"44_43",0.3211,2112,"TERA",NA
2002-11-17,"44_43",0.2078,2112,"TERA",NA
2002-12-03,"44_43",0.2228,2112,"TERA",NA
2002-12-19,"44_43",0.2783,2116,"TERA",NA
2003-01-01,"44_43",0.2614,4160,"TERA",NA
2003-01-17,"44_43",0.1998,2112,"TERA",NA
2003-02-02,"44_43",0.2108,4160,"TERA",NA
2003-02-18,"44_43",0.1825,4160,"TERA",NA
2003-03-06,"44_43",0.116,4365,"TERA",NA
2003-03-22,"44_43",0.2218,2112,"TERA",NA
2003-04-07,"44_43",0.3632,2112,"TERA",NA
2003-04-23,"44_43",0.34,2112,"TERA",NA
2003-05-09,"44_43",0.3932,4229,"TERA",NA
2003-05-25,"44_43",0.5704,4106,"TERA",NA
2003-06-10,"44_43",0.4129,4233,"TERA",NA
2003-06-26,"44_43",0.4022,4365,"TERA",NA
2003-07-12,"44_43",0.5277,4369,"TERA",NA
2003-07-28,"44_43",0.4502,2112,"TERA",NA
2003-08-13,"44_43",0.3681,2112,"TERA",NA
2003-08-29,"44_43",0.3859,4164,"TERA",NA
2003-09-14,"44_43",0.3864,2112,"TERA",NA
2003-09-30,"44_43",0.3499,2112,"TERA",NA
2003-10-16,"44_43",0.3641,4160,"TERA",NA
2003-11-01,"44_43",0.3285,2112,"TERA",NA
2003-11-17,"44_43",0.3453,2112,"TERA",NA
2003-12-03,"44_43",0.3081,2112,"TERA",NA
2003-12-19,"44_43",0.2431,4164,"TERA",NA
2004-01-01,"44_43",0.2231,2112,"TERA",NA
2004-01-17,"44_43",0.2157,2112,"TERA",NA
2004-02-02,"44_43",0.2286,2181,"TERA",NA
2004-02-18,"44_43",0.2327,2112,"TERA",NA
2004-03-05,"44_43",0.2547,2112,"TERA",NA
2004-03-21,"44_43",0.3266,4160,"TERA",NA
2004-04-06,"44_43",0.4055,2181,"TERA",NA
2004-04-22,"44_43",0.2564,2112,"TERA",NA
2004-05-08,"44_43",0.351,4160,"TERA",NA
2004-05-24,"44_43",0.3554,2112,"TERA",NA
2004-06-09,"44_43",0.4401,2112,"TERA",NA
