"date","pixel","ndvi_raw","ndvi_qc","type","ndvi_filtered"
2000-02-18,"44_43",0.4278,2112,"TERA",NA
2000-03-05,"44_43",0.4396,2172,"TERA",NA
2000-03-21,"44_43",0.5173,4160,"TERA",NA
2000-04-06,"44_43",0.5363,2112,"TERA",NA
2000-04-22,"44_43",0.5851,2112,"TERA",NA
2000-05-08,"44_43",0.5431,4160,"TERA",NA
2000-05-24,"44_43",0.583,4164,"TERA",NA
2000-06-09,"44_43",0.653,2181,"TERA",NA
2000-06-25,"44_43",0.6723,2112,"TERA",NA
2000-07-11,"44_43",0.6691,4229,"TERA",NA
2000-07-27,"44_43",0.7585,2181,"TERA",NA
2000-08-12,"44_43",0.6816,2112,"TERA",NA
2000-08-28,"44_43",0.713,37141,"TERA",NA
2000-09-13,"44_43",0.6727,4160,"TERA",NA
2000-09-29,"44_43",0.6553,37009,"TERA",NA
2000-10-15,"44_43",0.6099,2112,"TERA",NA
2000-10-31,"44_43",0.5598,2112,"TERA",NA
2000-11-16,"44_43",0.5774,2112,"TERA",NA
2000-12-02,"44_43",0.5261,2112,"TERA",NA
2000-12-18,"44_43",0.477,2116,"TERA",NA
2001-01-01,"44_43",0.2425,4160,"TERA",NA
2001-01-17,"44_43",0.3326,4229,"TERA",NA
2001-02-02,"44_43",0.4758,2112,"TERA",NA
2001-02-18,"44_43",0.5102,4164,"TERA",NA
2001-03-06,"44_43",0.6252,2112,"TERA",NA
2001-03-22,"44_43",0.5958,2112,"TERA",NA
2001-04-07,"44_43",0.6255,2112,"TERA",NA
2001-04-23,"44_43",0.6078,2181,"TERA",NA
2001-05-09,"44_43",0.6468,2112,"TERA",NA
2001-05-25,"44_43",0.5012,2112,"TERA",NA
2001-06-10,"44_43",0.6952,2441,"TERA",NA
2001-06-26,"44_43",0.6664,2318,"TERA",NA
2001-07-12,"44_43",0.6649,4229,"TERA",NA
2001-07-28,"44_43",0.6041,36936,"TERA",NA
2001-08-13,"44_43",0.642,4229,"TERA",NA
2001-08-29,"44_43",0.574,4369,"TERA",NA
2001-09-14,"44_43",0.6882,2112,"TERA",NA
2001-09-30,"44_43",0.657,2112,"TERA",NA
2001-10-16,"44_43",0.5749,2112,"TERA",NA
2001-11-01,"44_43",0.5819,4160,"TERA",NA
2001-11-17,"44_43",0.4333,2112,"TERA",NA
2001-12-03,"44_43",0.5499,4160,"TERA",NA
2001-12-19,"44_43",0.5023,4168,"TERA",0.5023
2002-01-01,"44_43",0.4624,2112,"TERA",NA
2002-01-17,"44_43",0.336,2112,"TERA",NA
2002-02-02,"44_43",0.4988,2112,"TERA",NA
2002-02-18,"44_43",0.5128,2112,"TERA",NA
2002-03-06,"44_43",0.4911,2112,"TERA",NA
2002-03-22,"44_43",0.5931,2181,"TERA",NA
2002-04-07,"44_43",0.5229,4160,"TERA",NA
2002-04-23,"44_43",0.4007,2181,"TERA",NA
2002-05-09,"44_43",0.5998,35148,"TERA",NA
2002-05-25,"44_43",0.6186,2181,"TERA",NA
2002-06-10,"44_43",0.4872,4110,"TERA",NA
2002-06-26,"44_43",0.6706,4160,"TERA",NA
2002-07-12,"44_43",0.6983,4305,"TERA",NA
2002-07-28,"44_43",0.6454,4160,"TERA",NA
2002-08-13,"44_43",0.109,2441,"TERA",NA
2002-08-29,"44_43",0.7195,4164,"TERA",NA
2002-09-14,"44_43",0.5664,37009,"TERA",NA
2002-09-30,"44_43",0.6756,2112,"TERA",NA
2002-10-16,"44_43",0.5866,4160,"TERA",NA
2002-11-01,"44_43",0.6127,2112,"TERA",NA
2002-11-17,"44_43",0.4324,2112,"TERA",NA
2002-12-03,"44_43",0.4918,2112,"TERA",NA
2002-12-19,"44_43",0.5725,2116,"TERA",NA
2003-01-01,"44_43",0.465,4160,"TERA",NA
2003-01-17,"44_43",0.3875,2112,"TERA",NA
2003-02-02,"44_43",0.3918,4160,"TERA",NA
2003-02-18,"44_43",0.3943,4160,"TERA",NA
2003-03-06,"44_43",0.4371,4365,"TERA",NA
2003-03-22,"44_43",0.5684,2112,"TERA",NA
2003-04-07,"44_43",0.6349,2112,"TERA",NA
2003-04-23,"44_43",0.5356,2112,"TERA",NA
2003-05-09,"44_43",0.5945,4229,"TERA",NA
2003-05-25,"44_43",0.603,4106,"TERA",NA
2003-06-10,"44_43",0.7428,4233,"TERA",NA
2003-06-26,"44_43",0.6643,4365,"TERA",NA
2003-07-12,"44_43",0.6664,4369,"TERA",NA
2003-07-28,"44_43",0.7522,2112,"TERA",NA
2003-08-13,"44_43",0.6783,2112,"TERA",NA
2003-08-29,"44_43",0.7297,4164,"TERA",NA
2003-09-14,"44_43",0.6748,2112,"TERA",NA
2003-09-30,"44_43",0.6811,2112,"TERA",NA
2003-10-16,"44_43",0.6766,4160,"TERA",NA
2003-11-01,"44_43",0.6253,2112,"TERA",NA
2003-11-17,"44_43",0.6399,2112,"TERA",NA
2003-12-03,"44_43",0.6001,2112,"TERA",NA
2003-12-19,"44_43",0.4838,4164,"TERA",NA
2004-01-01,"44_43",0.4441,2112,"TERA",NA
2004-01-17,"44_43",0.4416,2112,"TERA",NA
2004-02-02,"44_43",0.468,2181,"TERA",NA
2004-02-18,"44_43",0.5108,2112,"TERA",NA
2004-03-05,"44_43",0.5151,2112,"TERA",NA
2004-03-21,"44_43",0.5959,4160,"TERA",NA
2004-04-06,"44_43",0.5837,2181,"TERA",NA
2004-04-22,"44_43",0.4867,2112,"TERA",NA
2004-05-08,"44_43",0.6128,4160,"TERA",NA
2004-05-24,"44_43",0.5479,2112,"TERA",NA
2004-06-09,"44_43",0.6456,2112,"TERA",NA
2004-06-25,"44_43",0.6689,4233,"TERA",NA
2004-07-11,"44_43",0.7233,2181,"TERA",NA
2004-07-27,"44_43",0.7986,4110,"TERA",NA
2004-08-12,"44_43",0.6249,2112,"TERA",NA
2004-08-28,"44_43",0.6941,35217,"TERA",NA
2004-09-13,"44_43",NA,37141,"TERA",NA
2004-09-29,"44_43",0.6509,4160,"TERA",NA
2004-10-15,"44_43",0.6764,4164,"TERA",NA
2004-10-31,"44_43",0.6467,2112,"TERA",NA
2004-11-16,"44_43",0.5445,2112,"TERA",NA
2004-12-02,"44_43",0.5254,2112,"TERA",NA
2004-12-18,"44_43",0.5243,4164,"TERA",NA
2005-01-01,"44_43",0.485,4365,"TERA",NA
2005-01-17,"44_43",0.4554,2112,"TERA",NA
2005-02-02,"44_43",0.4261,2112,"TERA",NA
2005-02-18,"44_43",0.4976,2112,"TERA",NA
2005-03-06,"44_43",0.5027,2112,"TERA",NA
2005-03-22,"44_43",0.5533,2112,"TERA",NA
2005-04-07,"44_43",0.5155,4164,"TERA",NA
2005-04-23,"44_43",0.5822,2112,"TERA",NA
2005-05-09,"44_43",0.5536,2372,"TERA",NA
2005-05-25,"44_43",0.4368,4106,"TERA",NA
2005-06-10,"44_43",0.5473,2441,"TERA",NA
2005-06-26,"44_43",0.5387,4233,"TERA",NA
2005-07-12,"44_43",0.5492,2372,"TERA",NA
2005-07-28,"44_43",0.5099,2181,"TERA",NA
2005-08-13,"44_43",0.5316,2112,"TERA",NA
2005-08-29,"44_43",0.6688,4164,"TERA",NA
2005-09-14,"44_43",0.6558,4301,"TERA",NA
2005-09-30,"44_43",0.3861,3094,"TERA",NA
2005-10-16,"44_43",0.669,4160,"TERA",NA
2005-11-01,"44_43",0.638,4160,"TERA",NA
2005-11-17,"44_43",0.5821,2112,"TERA",NA
2005-12-03,"44_43",0.6133,2112,"TERA",NA
2005-12-19,"44_43",0.4651,2116,"TERA",NA
2006-01-01,"44_43",0.4927,2112,"TERA",NA
2006-01-17,"44_43",0.4391,4160,"TERA",NA
2006-02-02,"44_43",0.453,2112,"TERA",NA
2006-02-18,"44_43",0.4434,2112,"TERA",NA
2006-03-06,"44_43",0.4727,2112,"TERA",NA
2006-03-22,"44_43",0.5904,2112,"TERA",NA
2006-04-07,"44_43",0.6049,2112,"TERA",NA
2006-04-23,"44_43",0.4821,2112,"TERA",NA
2006-05-09,"44_43",0.5764,2112,"TERA",NA
2006-05-25,"44_43",0.4776,2112,"TERA",NA
2006-06-10,"44_43",0.4212,2514,"TERA",NA
