"dates","layer","pixel","year","value"
2001-02-13,"Greenup","44_43","2001",NA
2002-03-18,"Greenup","44_43","2002",NA
2003-03-12,"Greenup","44_43","2003",NA
2004-02-29,"Greenup","44_43","2004",NA
NA,"Greenup","44_43","2005",NA
2006-05-11,"Greenup","44_43","2006",NA
2007-04-01,"Greenup","44_43","2007",NA
NA,"Greenup","44_43","2008",NA
2009-03-13,"Greenup","44_43","2009",NA
2010-04-04,"Greenup","44_43","2010",NA
2011-03-19,"Greenup","44_43","2011",NA
2012-04-02,"Greenup","44_43","2012",NA
2013-04-07,"Greenup","44_43","2013",NA
2014-03-25,"Greenup","44_43","2014",NA
2015-03-17,"Greenup","44_43","2015",NA
2016-04-14,"Greenup","44_43","2016",NA
2017-06-07,"Greenup","44_43","2017",NA
2001-02-16,"Greenup","44_44","2001",NA
2002-03-16,"Greenup","44_44","2002",NA
2003-03-13,"Greenup","44_44","2003",NA
2004-02-28,"Greenup","44_44","2004",NA
NA,"Greenup","44_44","2005",NA
2006-03-23,"Greenup","44_44","2006",NA
2007-04-01,"Greenup","44_44","2007",NA
2008-07-21,"Greenup","44_44","2008",NA
2009-03-20,"Greenup","44_44","2009",NA
2010-04-04,"Greenup","44_44","2010",NA
NA,"Greenup","44_44","2011",NA
2012-03-14,"Greenup","44_44","2012",NA
2013-03-31,"Greenup","44_44","2013",NA
2014-03-18,"Greenup","44_44","2014",NA
NA,"Greenup","44_44","2015",NA
2016-04-02,"Greenup","44_44","2016",NA
2017-05-25,"Greenup","44_44","2017",NA
2001-02-16,"Greenup","44_45","2001",NA
2002-03-16,"Greenup","44_45","2002",NA
2003-03-13,"Greenup","44_45","2003",NA
2004-02-28,"Greenup","44_45","2004",NA
NA,"Greenup","44_45","2005",NA
2006-03-23,"Greenup","44_45","2006",NA
2007-04-01,"Greenup","44_45","2007",NA
2008-07-21,"Greenup","44_45","2008",NA
2009-03-20,"Greenup","44_45","2009",NA
2010-04-04,"Greenup","44_45","2010",NA
NA,"Greenup","44_45","2011",NA
2012-03-14,"Greenup","44_45","2012",NA
2013-03-31,"Greenup","44_45","2013",NA
2014-03-18,"Greenup","44_45","2014",NA
NA,"Greenup","44_45","2015",NA
2016-04-02,"Greenup","44_45","2016",NA
2017-05-25,"Greenup","44_45","2017",NA
2001-02-12,"Greenup","43_45","2001",NA
2002-03-15,"Greenup","43_45","2002",NA
2003-03-09,"Greenup","43_45","2003",NA
2004-03-09,"Greenup","43_45","2004",NA
2005-04-22,"Greenup","43_45","2005",NA
2006-05-05,"Greenup","43_45","2006",NA
2007-03-26,"Greenup","43_45","2007",NA
2008-03-31,"Greenup","43_45","2008",NA
2009-03-18,"Greenup","43_45","2009",NA
2010-04-08,"Greenup","43_45","2010",NA
NA,"Greenup","43_45","2011",NA
2012-03-24,"Greenup","43_45","2012",NA
2013-04-05,"Greenup","43_45","2013",NA
2014-03-08,"Greenup","43_45","2014",NA
2015-03-13,"Greenup","43_45","2015",NA
2016-04-04,"Greenup","43_45","2016",NA
2017-06-07,"Greenup","43_45","2017",NA
2001-02-12,"Greenup","43_44","2001",NA
2002-03-15,"Greenup","43_44","2002",NA
2003-03-09,"Greenup","43_44","2003",NA
2004-03-09,"Greenup","43_44","2004",NA
2005-04-22,"Greenup","43_44","2005",NA
2006-05-05,"Greenup","43_44","2006",NA
2007-03-26,"Greenup","43_44","2007",NA
2008-03-31,"Greenup","43_44","2008",NA
2009-03-18,"Greenup","43_44","2009",NA
2010-04-08,"Greenup","43_44","2010",NA
NA,"Greenup","43_44","2011",NA
2012-03-24,"Greenup","43_44","2012",NA
2013-04-05,"Greenup","43_44","2013",NA
