#
# Transition date estimate for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:58:28
# Spline RMSE gcc_mean: 0.0027
# Spline RMSE gcc_50: 0.00302
# Spline RMSE gcc_75: 0.00323
# Spline RMSE gcc_90: 0.00566
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2017-05-10,2017-05-13,2017-05-19,2017-05-08,2017-05-12,2017-05-17,2017-05-12,2017-05-15,2017-05-20,0.34137,0.35527,0.39649,0.32968,0.45106
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2018-05-06,2018-05-11,2018-05-16,2018-05-05,2018-05-10,2018-05-15,2018-05-08,2018-05-12,2018-05-17,0.33952,0.3606,0.39372,0.33029,0.45394
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_90,2019-05-12,2019-05-16,2019-05-22,2019-05-11,2019-05-15,2019-05-20,2019-05-14,2019-05-18,2019-05-23,0.33968,0.35621,0.39617,0.3298,0.4494
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2017-05-11,2017-05-14,2017-05-19,2017-05-09,2017-05-13,2017-05-17,2017-05-13,2017-05-16,2017-05-20,0.33908,0.35449,0.39279,0.32922,0.44582
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2018-05-08,2018-05-12,2018-05-17,2018-05-07,2018-05-11,2018-05-15,2018-05-10,2018-05-13,2018-05-18,0.33991,0.35763,0.39409,0.32966,0.449
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_75,2019-05-13,2019-05-17,2019-05-22,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-18,2019-05-23,0.33987,0.35567,0.39382,0.32906,0.44317
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2017-05-11,2017-05-15,2017-05-19,2017-05-08,2017-05-14,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.33674,0.35405,0.38477,0.32833,0.43745
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2018-05-09,2018-05-13,2018-05-17,2018-05-08,2018-05-12,2018-05-16,2018-05-11,2018-05-14,2018-05-18,0.33793,0.35589,0.38654,0.32881,0.44074
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_50,2019-05-13,2019-05-17,2019-05-22,2019-05-11,2019-05-16,2019-05-20,2019-05-15,2019-05-19,2019-05-23,0.33797,0.35237,0.38724,0.32807,0.43401
NEON.D01.HARV.DP1.00033,DB,1000,rising,gcc_mean,2017-05-11,2017-05-15,2017-05-19,2017-05-08,2017-05-14,2017-05-18,2017-05-13,2017-05-16,2017-05-20,0.337,0.35492,0.38518,0.32798,0.43678
