#
# Transition date estimate for NEON.D01.HARV.DP1.00033
#
# Site: NEON.D01.HARV.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:57:55
# Spline RMSE gcc_mean: 0.00295
# Spline RMSE gcc_50: 0.00305
# Spline RMSE gcc_75: 0.00253
# Spline RMSE gcc_90: 0.00259
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2017-03-25,2017-04-03,2017-04-13,2017-03-21,2017-04-01,2017-04-10,2017-03-31,2017-04-06,2017-04-16,0.3742,0.38141,0.39538,0.36914,0.42119
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2018-04-13,2018-04-21,2018-05-01,2018-04-09,2018-04-19,2018-04-28,2018-04-17,2018-04-24,2018-05-02,0.36259,0.37102,0.38774,0.35694,0.41561
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_90,2019-03-31,2019-04-08,2019-04-17,2019-03-28,2019-04-06,2019-04-14,2019-04-04,2019-04-10,2019-04-18,0.36651,0.37542,0.39266,0.36108,0.42036
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2017-03-29,2017-04-05,2017-04-13,2017-03-22,2017-04-03,2017-04-10,2017-04-02,2017-04-07,2017-04-15,0.37122,0.37918,0.3921,0.3668,0.41657
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2018-04-13,2018-04-22,2018-05-01,2018-04-10,2018-04-19,2018-04-29,2018-04-17,2018-04-24,2018-05-02,0.3611,0.36981,0.38475,0.35569,0.41239
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_75,2019-04-02,2019-04-09,2019-04-17,2019-03-29,2019-04-08,2019-04-15,2019-04-06,2019-04-11,2019-04-19,0.36519,0.37314,0.38853,0.35994,0.41708
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2017-03-31,2017-04-05,2017-04-13,2017-03-21,2017-04-03,2017-04-10,2017-04-04,2017-04-08,2017-04-15,0.36736,0.37424,0.38812,0.36357,0.41106
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2018-04-15,2018-04-23,2018-05-02,2018-04-11,2018-04-20,2018-04-29,2018-04-20,2018-04-26,2018-05-03,0.35991,0.3669,0.3828,0.35479,0.40721
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_50,2019-04-06,2019-04-11,2019-04-18,2019-04-03,2019-04-09,2019-04-16,2019-04-09,2019-04-13,2019-04-20,0.36262,0.37118,0.38582,0.35813,0.41118
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2017-04-01,2017-04-05,2017-04-11,2017-03-29,2017-04-03,2017-04-09,2017-04-04,2017-04-07,2017-04-14,0.366,0.37264,0.38546,0.36209,0.40853
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2018-04-12,2018-04-21,2018-04-30,2018-04-08,2018-04-19,2018-04-28,2018-04-17,2018-04-25,2018-05-02,0.35604,0.36398,0.37889,0.3511,0.40634
NEON.D01.HARV.DP1.00033,EN,1000,rising,gcc_mean,2019-04-05,2019-04-10,2019-04-18,2019-03-28,2019-04-09,2019-04-15,2019-04-09,2019-04-13,2019-04-19,0.36183,0.36857,0.38467,0.357,0.40926
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_90,2019-11-28,2019-11-12,2019-10-10,2019-12-03,2019-11-15,2019-10-13,2019-11-22,2019-11-09,2019-10-08,0.36378,0.3726,0.39004,0.35775,0.4204
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_90,2018-12-08,2018-11-25,2018-10-11,2018-12-12,2018-12-01,2018-10-14,2018-12-03,2018-11-16,2018-10-10,0.36958,0.37737,0.39133,0.36498,0.41521
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_90,2017-11-17,2017-10-17,2017-09-22,2017-11-21,2017-10-19,2017-09-26,2017-11-12,2017-10-16,2017-09-19,0.37338,0.37943,0.3927,0.36917,0.41469
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_75,2019-11-28,2019-11-12,2019-10-11,2019-12-04,2019-11-15,2019-10-14,2019-11-22,2019-11-09,2019-10-09,0.36213,0.37074,0.38696,0.35614,0.41664
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_75,2018-12-09,2018-11-26,2018-10-11,2018-12-14,2018-12-02,2018-10-13,2018-12-04,2018-11-13,2018-10-09,0.36703,0.3747,0.38791,0.36235,0.41276
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_75,2017-10-21,2017-10-16,2017-09-21,2017-11-21,2017-10-18,2017-09-24,2017-10-20,2017-10-15,2017-09-17,0.37155,0.37808,0.39008,0.3674,0.41166
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_50,2019-11-29,2019-11-12,2019-10-12,2019-12-06,2019-11-16,2019-10-15,2019-11-21,2019-11-09,2019-10-09,0.35927,0.36771,0.3823,0.35381,0.41011
NEON.D01.HARV.DP1.00033,EN,1000,falling,gcc_50,2018-11-18,2018-11-13,2018-10-10,2018-12-16,2018-11-15,2018-10-13,2018-11-15,2018-11-10,2018-10-09,0.36475,0.37182,0.38597,0.36046,0.4085
