"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2000-02-18,"43_44",0.2275,2185,"TERA",NA
2000-03-05,"43_44",0.2412,2112,"TERA",NA
2000-03-21,"43_44",0.2506,2112,"TERA",NA
2000-04-06,"43_44",0.2406,2116,"TERA",NA
2000-04-22,"43_44",0.2696,2181,"TERA",NA
2000-05-08,"43_44",0.4628,2112,"TERA",NA
2000-05-24,"43_44",0.6221,2112,"TERA",NA
2000-06-09,"43_44",0.5716,2185,"TERA",NA
2000-06-25,"43_44",0.7877,2376,"TERA",0.7877
2000-07-11,"43_44",0.7233,2172,"TERA",NA
2000-07-27,"43_44",0.2492,2441,"TERA",NA
2000-08-12,"43_44",0.5656,2181,"TERA",NA
2000-08-28,"43_44",0.6064,2112,"TERA",NA
2000-09-13,"43_44",0.513,2112,"TERA",NA
2000-09-29,"43_44",0.4047,2112,"TERA",NA
2000-10-15,"43_44",0.3116,2112,"TERA",NA
2000-10-31,"43_44",0.208,2116,"TERA",NA
2000-11-16,"43_44",0.2241,2116,"TERA",NA
2000-12-02,"43_44",0.2244,2120,"TERA",0.2244
2000-12-18,"43_44",0.2353,2193,"TERA",NA
2001-01-01,"43_44",0.2821,35297,"TERA",NA
2001-01-17,"43_44",0.1866,3098,"TERA",NA
2001-02-02,"43_44",0.247,35093,"TERA",NA
2001-02-18,"43_44",0.2131,2062,"TERA",NA
2001-03-06,"43_44",0.3033,2062,"TERA",NA
2001-03-22,"43_44",0.1195,2058,"TERA",NA
2001-04-07,"43_44",0.2119,2181,"TERA",NA
2001-04-23,"43_44",0.3648,2112,"TERA",NA
2001-05-09,"43_44",0.5647,2112,"TERA",NA
2001-05-25,"43_44",0.6622,2112,"TERA",NA
2001-06-10,"43_44",0.7412,2112,"TERA",NA
2001-06-26,"43_44",0.6654,2112,"TERA",NA
2001-07-12,"43_44",0.7316,2112,"TERA",NA
2001-07-28,"43_44",0.7295,2112,"TERA",NA
2001-08-13,"43_44",0.5963,2112,"TERA",NA
2001-08-29,"43_44",0.6219,2112,"TERA",NA
2001-09-14,"43_44",0.6347,2112,"TERA",NA
2001-09-30,"43_44",0.5324,2112,"TERA",NA
