"date","pixel","ndvi_raw","ndvi_qc","type","ndvi_filtered"
2000-02-18,"43_44",0.4964,2185,"TERA",NA
2000-03-05,"43_44",0.5332,2112,"TERA",NA
2000-03-21,"43_44",0.5227,2112,"TERA",NA
2000-04-06,"43_44",0.5927,2116,"TERA",NA
2000-04-22,"43_44",0.5591,2181,"TERA",NA
2000-05-08,"43_44",0.719,2112,"TERA",NA
2000-05-24,"43_44",0.8283,2112,"TERA",NA
2000-06-09,"43_44",0.8908,2185,"TERA",NA
2000-06-25,"43_44",0.9158,2376,"TERA",0.9158
2000-07-11,"43_44",0.8914,2172,"TERA",NA
2000-07-27,"43_44",0.9163,2441,"TERA",NA
2000-08-12,"43_44",0.9013,2181,"TERA",NA
2000-08-28,"43_44",0.8814,2112,"TERA",NA
2000-09-13,"43_44",0.8597,2112,"TERA",NA
2000-09-29,"43_44",0.7268,2112,"TERA",NA
2000-10-15,"43_44",0.6627,2112,"TERA",NA
2000-10-31,"43_44",0.5916,2116,"TERA",NA
2000-11-16,"43_44",0.5873,2116,"TERA",NA
2000-12-02,"43_44",0.6325,2120,"TERA",0.6325
2000-12-18,"43_44",0.6374,2193,"TERA",NA
2001-01-01,"43_44",0.653,35297,"TERA",NA
2001-01-17,"43_44",0.2919,3098,"TERA",NA
2001-02-02,"43_44",0.2668,35093,"TERA",NA
2001-02-18,"43_44",0.3635,2062,"TERA",NA
2001-03-06,"43_44",0.3959,2062,"TERA",NA
2001-03-22,"43_44",0.132,2058,"TERA",NA
2001-04-07,"43_44",0.4721,2181,"TERA",NA
2001-04-23,"43_44",0.6882,2112,"TERA",NA
2001-05-09,"43_44",0.8528,2112,"TERA",NA
2001-05-25,"43_44",0.8783,2112,"TERA",NA
2001-06-10,"43_44",0.8949,2112,"TERA",NA
2001-06-26,"43_44",0.9187,2112,"TERA",NA
2001-07-12,"43_44",0.9004,2112,"TERA",NA
2001-07-28,"43_44",0.9111,2112,"TERA",NA
2001-08-13,"43_44",0.9076,2112,"TERA",NA
2001-08-29,"43_44",0.8972,2112,"TERA",NA
2001-09-14,"43_44",0.8843,2112,"TERA",NA
2001-09-30,"43_44",0.8077,2112,"TERA",NA
2001-10-16,"43_44",0.5874,2112,"TERA",NA
2001-11-01,"43_44",0.6499,2112,"TERA",NA
2001-11-17,"43_44",0.581,2116,"TERA",NA
2001-12-03,"43_44",0.6255,2116,"TERA",NA
2001-12-19,"43_44",0.5958,2120,"TERA",0.5958
2002-01-01,"43_44",0.5782,2116,"TERA",NA
2002-01-17,"43_44",0.4299,2061,"TERA",NA
2002-02-02,"43_44",0.3557,2181,"TERA",NA
2002-02-18,"43_44",0.5335,2112,"TERA",NA
2002-03-06,"43_44",0.6038,2112,"TERA",NA
2002-03-22,"43_44",0.6539,2185,"TERA",NA
2002-04-07,"43_44",0.51,2112,"TERA",NA
2002-04-23,"43_44",0.6311,2116,"TERA",NA
2002-05-09,"43_44",0.6395,2112,"TERA",NA
2002-05-25,"43_44",0.8774,2112,"TERA",NA
2002-06-10,"43_44",0.9197,2112,"TERA",NA
2002-06-26,"43_44",0.9015,2112,"TERA",NA
2002-07-12,"43_44",0.7847,2112,"TERA",NA
2002-07-28,"43_44",0.8953,2112,"TERA",NA
2002-08-13,"43_44",0.9046,2112,"TERA",NA
2002-08-29,"43_44",0.8951,2112,"TERA",NA
2002-09-14,"43_44",0.8937,2112,"TERA",NA
2002-09-30,"43_44",0.8386,2112,"TERA",NA
2002-10-16,"43_44",0.7848,2112,"TERA",NA
2002-11-01,"43_44",0.6549,2116,"TERA",NA
2002-11-17,"43_44",0.6504,2120,"TERA",0.6504
