"dates","layer","pixel","year","value"
2001-04-23,"Greenup","43_44","2001",NA
2002-05-01,"Greenup","43_44","2002",NA
2003-02-14,"Greenup","43_44","2003",NA
2004-04-28,"Greenup","43_44","2004",NA
2005-05-02,"Greenup","43_44","2005",NA
2006-04-29,"Greenup","43_44","2006",NA
2007-04-26,"Greenup","43_44","2007",NA
2008-04-11,"Greenup","43_44","2008",NA
2009-04-08,"Greenup","43_44","2009",NA
2010-04-22,"Greenup","43_44","2010",NA
2011-04-30,"Greenup","43_44","2011",NA
2012-04-18,"Greenup","43_44","2012",NA
2013-04-27,"Greenup","43_44","2013",NA
2014-04-30,"Greenup","43_44","2014",NA
2015-04-19,"Greenup","43_44","2015",NA
2016-05-02,"Greenup","43_44","2016",NA
2017-04-24,"Greenup","43_44","2017",NA
2001-04-13,"Greenup","43_45","2001",NA
2002-05-06,"Greenup","43_45","2002",NA
2003-03-05,"Greenup","43_45","2003",NA
2004-04-28,"Greenup","43_45","2004",NA
2005-04-24,"Greenup","43_45","2005",NA
2006-02-16,"Greenup","43_45","2006",NA
2007-05-04,"Greenup","43_45","2007",NA
2008-04-12,"Greenup","43_45","2008",NA
2009-04-01,"Greenup","43_45","2009",NA
2010-04-17,"Greenup","43_45","2010",NA
2011-04-26,"Greenup","43_45","2011",NA
2012-04-21,"Greenup","43_45","2012",NA
2013-04-25,"Greenup","43_45","2013",NA
2014-05-03,"Greenup","43_45","2014",NA
2015-04-21,"Greenup","43_45","2015",NA
2016-05-04,"Greenup","43_45","2016",NA
2017-04-30,"Greenup","43_45","2017",NA
2001-04-23,"Greenup","43_43","2001",NA
2002-05-01,"Greenup","43_43","2002",NA
2003-02-14,"Greenup","43_43","2003",NA
2004-04-28,"Greenup","43_43","2004",NA
2005-05-02,"Greenup","43_43","2005",NA
2006-04-29,"Greenup","43_43","2006",NA
2007-04-26,"Greenup","43_43","2007",NA
2008-04-11,"Greenup","43_43","2008",NA
2009-04-08,"Greenup","43_43","2009",NA
2010-04-22,"Greenup","43_43","2010",NA
2011-04-30,"Greenup","43_43","2011",NA
2012-04-18,"Greenup","43_43","2012",NA
2013-04-27,"Greenup","43_43","2013",NA
2014-04-30,"Greenup","43_43","2014",NA
2015-04-19,"Greenup","43_43","2015",NA
2016-05-02,"Greenup","43_43","2016",NA
2017-04-24,"Greenup","43_43","2017",NA
2001-04-14,"Greenup","42_43","2001",NA
2002-05-06,"Greenup","42_43","2002",NA
2003-05-02,"Greenup","42_43","2003",NA
2004-04-17,"Greenup","42_43","2004",NA
2005-04-29,"Greenup","42_43","2005",NA
2006-05-02,"Greenup","42_43","2006",NA
2007-05-05,"Greenup","42_43","2007",NA
2008-04-25,"Greenup","42_43","2008",NA
2009-04-23,"Greenup","42_43","2009",NA
2010-04-13,"Greenup","42_43","2010",NA
2011-04-22,"Greenup","42_43","2011",NA
2012-04-17,"Greenup","42_43","2012",NA
2013-04-25,"Greenup","42_43","2013",NA
2014-05-04,"Greenup","42_43","2014",NA
2015-04-24,"Greenup","42_43","2015",NA
2016-05-04,"Greenup","42_43","2016",NA
2017-04-28,"Greenup","42_43","2017",NA
2001-04-27,"Greenup","42_44","2001",NA
2002-05-07,"Greenup","42_44","2002",NA
