#
# Transition date estimate for NEON.D15.ONAQ.DP1.00033
#
# Site: NEON.D15.ONAQ.DP1.00033
# Veg Type: GR
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:54:37
# Spline RMSE gcc_mean: 0.00136
# Spline RMSE gcc_50: 0.00141
# Spline RMSE gcc_75: 0.00165
# Spline RMSE gcc_90: 0.00194
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2017-03-24,2017-04-10,2017-04-28,2017-03-19,2017-04-08,2017-04-19,2017-04-03,2017-04-14,2017-04-30,0.34522,0.35018,0.36088,0.34189,0.37864
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2018-03-24,2018-04-03,2018-04-20,2018-03-04,2018-03-31,2018-04-16,2018-03-30,2018-04-07,2018-04-22,0.34742,0.35219,0.36134,0.34424,0.3773
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_90,2019-03-18,2019-03-31,2019-04-13,2019-03-08,2019-03-29,2019-04-10,2019-03-26,2019-04-04,2019-04-15,0.34949,0.35506,0.36695,0.34559,0.38655
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2017-03-24,2017-04-09,2017-04-24,2017-03-19,2017-04-06,2017-04-17,2017-03-31,2017-04-12,2017-04-29,0.3438,0.34795,0.35689,0.34071,0.37235
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2018-03-20,2018-04-02,2018-04-19,2018-03-02,2018-03-30,2018-04-15,2018-03-29,2018-04-06,2018-04-21,0.346,0.35012,0.35869,0.34309,0.37328
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_75,2019-03-15,2019-03-29,2019-04-10,2019-02-17,2019-03-26,2019-04-08,2019-03-22,2019-04-02,2019-04-12,0.34728,0.35243,0.36195,0.3437,0.38017
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2017-03-24,2017-04-09,2017-04-20,2017-03-19,2017-04-06,2017-04-17,2017-04-01,2017-04-12,2017-04-29,0.34258,0.34625,0.35402,0.33991,0.36751
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2018-03-19,2018-04-02,2018-04-19,2018-03-02,2018-03-30,2018-04-15,2018-03-28,2018-04-06,2018-04-20,0.3449,0.3488,0.35678,0.3422,0.36958
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_50,2019-03-16,2019-03-28,2019-04-10,2019-02-17,2019-03-26,2019-04-07,2019-03-22,2019-04-01,2019-04-12,0.34612,0.35055,0.3595,0.34297,0.37533
NEON.D15.ONAQ.DP1.00033,GR,1000,rising,gcc_mean,2017-03-22,2017-04-08,2017-04-20,2017-03-18,2017-04-04,2017-04-16,2017-03-28,2017-04-11,2017-04-27,0.34238,0.34611,0.35408,0.33958,0.36775
