#
# Transition date estimate for NEON.D15.ONAQ.DP1.00033
#
# Site: NEON.D15.ONAQ.DP1.00033
# Veg Type: SH
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 10:56:49
# Spline RMSE gcc_mean: 0.00078
# Spline RMSE gcc_50: 0.00079
# Spline RMSE gcc_75: 0.00091
# Spline RMSE gcc_90: 0.00103
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_90,2017-03-10,2017-03-17,2017-04-07,2017-03-08,2017-03-15,2017-04-01,2017-03-14,2017-03-21,2017-04-10,0.34644,0.34945,0.35521,0.3447,0.36533
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_90,2019-03-23,2019-04-01,2019-04-11,2019-03-21,2019-03-30,2019-04-09,2019-03-24,2019-04-02,2019-04-12,0.34877,0.35365,0.3616,0.34614,0.37635
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_75,2017-03-14,2017-03-28,2017-04-19,2017-03-13,2017-03-27,2017-04-18,2017-03-18,2017-04-04,2017-05-01,0.3476,0.35216,0.35968,0.34505,0.3736
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_50,2017-03-14,2017-03-28,2017-04-19,2017-03-13,2017-03-27,2017-04-18,2017-03-16,2017-04-06,2017-05-02,0.34679,0.35073,0.3576,0.34416,0.37048
NEON.D15.ONAQ.DP1.00033,SH,1000,rising,gcc_mean,2017-03-14,2017-03-31,2017-04-20,2017-03-13,2017-03-30,2017-04-19,2017-03-17,2017-04-07,2017-05-01,0.3468,0.35074,0.35745,0.34423,0.37031
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_90,2019-09-20,2019-08-09,2019-06-13,2019-09-25,2019-09-11,2019-06-15,2019-09-16,2019-08-01,2019-06-11,0.34878,0.3531,0.36058,0.34599,0.37467
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_90,2017-09-25,2017-07-11,2017-06-02,2017-10-06,2017-08-14,2017-06-05,2017-09-18,2017-07-03,2017-06-01,0.34728,0.35031,0.35617,0.34526,0.36555
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_75,2019-09-21,2019-07-16,2019-06-14,2019-09-25,2019-08-10,2019-06-16,2019-09-17,2019-07-12,2019-06-12,0.3474,0.35144,0.3586,0.34474,0.37206
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_50,2019-09-23,2019-07-16,2019-06-15,2019-09-26,2019-09-09,2019-06-17,2019-09-18,2019-07-11,2019-06-14,0.34581,0.34986,0.3566,0.3435,0.36896
NEON.D15.ONAQ.DP1.00033,SH,1000,falling,gcc_mean,2019-09-24,2019-09-09,2019-06-16,2019-09-27,2019-09-12,2019-06-18,2019-09-20,2019-07-16,2019-06-14,0.34582,0.34956,0.35614,0.34335,0.36882
