"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2000-02-18,"43_43",0.0938,2112,"TERA",NA
2000-03-05,"43_43",0.0935,2172,"TERA",NA
2000-03-21,"43_43",0.1014,2112,"TERA",NA
2000-04-06,"43_43",0.1078,2172,"TERA",NA
2000-04-22,"43_43",0.1356,2112,"TERA",NA
2000-05-08,"43_43",0.1577,2181,"TERA",NA
2000-05-24,"43_43",0.161,2112,"TERA",NA
2000-06-09,"43_43",0.1402,2112,"TERA",NA
2000-06-25,"43_43",0.1193,2112,"TERA",NA
2000-07-11,"43_43",0.1172,2112,"TERA",NA
2000-07-27,"43_43",0.1242,2181,"TERA",NA
2000-08-12,"43_43",0.1083,2112,"TERA",NA
2000-08-28,"43_43",0.1042,2112,"TERA",NA
2000-09-13,"43_43",0.1015,2112,"TERA",NA
2000-09-29,"43_43",0.107,2112,"TERA",NA
2000-10-15,"43_43",0.1244,2181,"TERA",NA
2000-10-31,"43_43",0.1442,2112,"TERA",NA
2000-11-16,"43_43",0.1482,2185,"TERA",NA
2000-12-02,"43_43",0.1478,2185,"TERA",NA
2000-12-18,"43_43",0.1518,3298,"TERA",NA
2001-01-01,"43_43",0.0139,18449,"TERA",NA
2001-01-17,"43_43",0.0435,2062,"TERA",NA
2001-02-02,"43_43",0.1385,4373,"TERA",NA
2001-02-18,"43_43",0.1645,2185,"TERA",NA
2001-03-06,"43_43",0.1595,2112,"TERA",NA
2001-03-22,"43_43",0.1909,2116,"TERA",NA
2001-04-07,"43_43",0.202,2181,"TERA",NA
2001-04-23,"43_43",0.2068,2112,"TERA",NA
2001-05-09,"43_43",0.1646,2112,"TERA",NA
2001-05-25,"43_43",0.144,2112,"TERA",NA
2001-06-10,"43_43",0.1387,2112,"TERA",NA
2001-06-26,"43_43",0.139,2112,"TERA",NA
2001-07-12,"43_43",0.11,2112,"TERA",NA
2001-07-28,"43_43",0.1213,2112,"TERA",NA
2001-08-13,"43_43",0.1118,2112,"TERA",NA
2001-08-29,"43_43",0.1085,2112,"TERA",NA
2001-09-14,"43_43",0.104,2112,"TERA",NA
2001-09-30,"43_43",0.1002,2112,"TERA",NA
2001-10-16,"43_43",0.0989,2112,"TERA",NA
2001-11-01,"43_43",0.1059,2116,"TERA",NA
2001-11-17,"43_43",0.1002,2112,"TERA",NA
2001-12-03,"43_43",-0.0271,18449,"TERA",NA
2001-12-19,"43_43",-0.025,18453,"TERA",NA
2002-01-01,"43_43",-0.0383,18453,"TERA",NA
2002-01-17,"43_43",-0.0128,18449,"TERA",NA
2002-02-02,"43_43",-0.0308,18445,"TERA",NA
2002-02-18,"43_43",0.1024,2112,"TERA",NA
