"date","pixel","ndvi_raw","ndvi_qc","type","ndvi_filtered"
2000-02-18,"43_43",0.1989,2112,"TERA",NA
2000-03-05,"43_43",0.1867,2172,"TERA",NA
2000-03-21,"43_43",0.1955,2112,"TERA",NA
2000-04-06,"43_43",0.2041,2172,"TERA",NA
2000-04-22,"43_43",0.2382,2112,"TERA",NA
2000-05-08,"43_43",0.2564,2181,"TERA",NA
2000-05-24,"43_43",0.263,2112,"TERA",NA
2000-06-09,"43_43",0.2179,2112,"TERA",NA
2000-06-25,"43_43",0.1979,2112,"TERA",NA
2000-07-11,"43_43",0.1923,2112,"TERA",NA
2000-07-27,"43_43",0.1947,2181,"TERA",NA
2000-08-12,"43_43",0.1972,2112,"TERA",NA
2000-08-28,"43_43",0.1784,2112,"TERA",NA
2000-09-13,"43_43",0.2237,2112,"TERA",NA
2000-09-29,"43_43",0.1985,2112,"TERA",NA
2000-10-15,"43_43",0.2059,2181,"TERA",NA
2000-10-31,"43_43",0.2975,2112,"TERA",NA
2000-11-16,"43_43",0.2712,2185,"TERA",NA
2000-12-02,"43_43",0.2789,2185,"TERA",NA
2000-12-18,"43_43",0.2922,3298,"TERA",NA
2001-01-01,"43_43",0.0109,18449,"TERA",NA
2001-01-17,"43_43",0.0408,2062,"TERA",NA
2001-02-02,"43_43",0.2303,4373,"TERA",NA
2001-02-18,"43_43",0.2757,2185,"TERA",NA
2001-03-06,"43_43",0.304,2112,"TERA",NA
2001-03-22,"43_43",0.3704,2116,"TERA",NA
2001-04-07,"43_43",0.3124,2181,"TERA",NA
2001-04-23,"43_43",0.3394,2112,"TERA",NA
2001-05-09,"43_43",0.2727,2112,"TERA",NA
2001-05-25,"43_43",0.2256,2112,"TERA",NA
2001-06-10,"43_43",0.2335,2112,"TERA",NA
2001-06-26,"43_43",0.2224,2112,"TERA",NA
2001-07-12,"43_43",0.1789,2112,"TERA",NA
2001-07-28,"43_43",0.1776,2112,"TERA",NA
2001-08-13,"43_43",0.1738,2112,"TERA",NA
2001-08-29,"43_43",0.1724,2112,"TERA",NA
2001-09-14,"43_43",0.1723,2112,"TERA",NA
2001-09-30,"43_43",0.1796,2112,"TERA",NA
2001-10-16,"43_43",0.1697,2112,"TERA",NA
2001-11-01,"43_43",0.1827,2116,"TERA",NA
2001-11-17,"43_43",0.1817,2112,"TERA",NA
2001-12-03,"43_43",-0.0182,18449,"TERA",NA
2001-12-19,"43_43",-0.0254,18453,"TERA",NA
2002-01-01,"43_43",-0.03,18453,"TERA",NA
