"dates","layer","pixel","year","value"
NA,"Greenup","43_43","2001",NA
NA,"Greenup","43_43","2002",NA
NA,"Greenup","43_43","2003",NA
NA,"Greenup","43_43","2004",NA
2004-12-18,"Greenup","43_43","2005",NA
NA,"Greenup","43_43","2006",NA
NA,"Greenup","43_43","2007",NA
NA,"Greenup","43_43","2008",NA
NA,"Greenup","43_43","2009",NA
NA,"Greenup","43_43","2010",NA
2011-02-05,"Greenup","43_43","2011",NA
NA,"Greenup","43_43","2012",NA
NA,"Greenup","43_43","2013",NA
NA,"Greenup","43_43","2014",NA
NA,"Greenup","43_43","2015",NA
2016-02-19,"Greenup","43_43","2016",NA
NA,"Greenup","43_43","2017",NA
NA,"Greenup","43_44","2001",NA
NA,"Greenup","43_44","2002",NA
NA,"Greenup","43_44","2003",NA
NA,"Greenup","43_44","2004",NA
2004-12-18,"Greenup","43_44","2005",NA
NA,"Greenup","43_44","2006",NA
NA,"Greenup","43_44","2007",NA
NA,"Greenup","43_44","2008",NA
NA,"Greenup","43_44","2009",NA
NA,"Greenup","43_44","2010",NA
2011-02-05,"Greenup","43_44","2011",NA
NA,"Greenup","43_44","2012",NA
NA,"Greenup","43_44","2013",NA
NA,"Greenup","43_44","2014",NA
NA,"Greenup","43_44","2015",NA
2016-02-19,"Greenup","43_44","2016",NA
NA,"Greenup","43_44","2017",NA
NA,"Greenup","43_45","2001",NA
NA,"Greenup","43_45","2002",NA
NA,"Greenup","43_45","2003",NA
NA,"Greenup","43_45","2004",NA
2004-12-17,"Greenup","43_45","2005",NA
NA,"Greenup","43_45","2006",NA
NA,"Greenup","43_45","2007",NA
NA,"Greenup","43_45","2008",NA
NA,"Greenup","43_45","2009",NA
NA,"Greenup","43_45","2010",NA
2011-01-28,"Greenup","43_45","2011",NA
NA,"Greenup","43_45","2012",NA
2013-03-02,"Greenup","43_45","2013",NA
NA,"Greenup","43_45","2014",NA
NA,"Greenup","43_45","2015",NA
2016-02-21,"Greenup","43_45","2016",NA
2017-03-20,"Greenup","43_45","2017",NA
NA,"Greenup","44_45","2001",NA
NA,"Greenup","44_45","2002",NA
NA,"Greenup","44_45","2003",NA
NA,"Greenup","44_45","2004",NA
2005-01-01,"Greenup","44_45","2005",NA
NA,"Greenup","44_45","2006",NA
NA,"Greenup","44_45","2007",NA
NA,"Greenup","44_45","2008",NA
NA,"Greenup","44_45","2009",NA
