#
# Transition date estimate for NEON.D03.OSBS.DP1.00033
#
# Site: NEON.D03.OSBS.DP1.00033
# Veg Type: EN
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2017
# Year max: 2019
# Final Processing Date: 2020-04-08
# Final Processing Time: 09:53:51
# Spline RMSE gcc_mean: 0.0016
# Spline RMSE gcc_50: 0.00158
# Spline RMSE gcc_75: 0.00132
# Spline RMSE gcc_90: 0.00189
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2017-05-20,2017-05-27,2017-06-13,2017-05-13,2017-05-24,2017-06-06,2017-05-25,2017-06-01,2017-06-24,0.40505,0.40776,0.41297,0.40333,0.42252
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2018-05-01,2018-05-14,2018-06-15,2018-03-27,2018-05-10,2018-06-09,2018-05-02,2018-05-20,2018-06-19,0.39763,0.4008,0.40666,0.39547,0.41749
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_90,2019-05-12,2019-06-01,2019-06-20,2019-05-08,2019-05-19,2019-06-15,2019-05-18,2019-06-09,2019-06-23,0.39532,0.39874,0.40465,0.39324,0.41531
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2017-05-18,2017-05-29,2017-06-11,2017-05-15,2017-05-25,2017-06-06,2017-05-26,2017-06-03,2017-06-24,0.40292,0.40569,0.41045,0.40151,0.41914
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2018-05-06,2018-05-14,2018-06-18,2018-03-31,2018-05-11,2018-06-13,2018-05-11,2018-05-20,2018-06-20,0.39622,0.39912,0.40492,0.39428,0.41465
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_75,2019-05-11,2019-05-21,2019-06-19,2019-05-08,2019-05-17,2019-06-15,2019-05-15,2019-06-10,2019-06-22,0.39305,0.39624,0.402,0.39091,0.41267
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2017-05-11,2017-05-23,2017-06-09,2017-03-30,2017-05-20,2017-06-03,2017-05-19,2017-05-27,2017-06-14,0.39896,0.4017,0.40694,0.39708,0.41632
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2018-05-01,2018-05-13,2018-06-18,2018-03-30,2018-05-09,2018-06-12,2018-05-07,2018-05-19,2018-06-22,0.39336,0.39632,0.40202,0.39138,0.41235
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_50,2019-04-29,2019-05-07,2019-06-10,2019-04-26,2019-05-05,2019-06-01,2019-05-03,2019-05-11,2019-06-15,0.38519,0.38898,0.39598,0.38287,0.40884
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2017-05-05,2017-05-23,2017-06-07,2017-03-29,2017-05-19,2017-06-02,2017-05-19,2017-05-28,2017-06-12,0.39845,0.4011,0.40606,0.39658,0.41547
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2018-04-27,2018-05-12,2018-06-16,2018-03-28,2018-05-07,2018-06-11,2018-04-28,2018-05-16,2018-06-21,0.39243,0.39552,0.40073,0.39039,0.41099
NEON.D03.OSBS.DP1.00033,EN,1000,rising,gcc_mean,2019-04-29,2019-05-07,2019-06-11,2019-04-26,2019-05-04,2019-06-04,2019-05-02,2019-05-11,2019-06-15,0.38494,0.3887,0.39528,0.38263,0.40789
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_90,2019-11-27,2019-11-20,2019-11-09,2019-12-04,2019-11-24,2019-11-13,2019-11-22,2019-11-15,2019-11-06,0.40037,0.40281,0.4073,0.39874,0.4153
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_90,2018-11-23,2018-11-14,2018-10-27,2018-12-02,2018-11-17,2018-11-01,2018-11-18,2018-11-09,2018-10-22,0.39411,0.39763,0.40466,0.39154,0.41746
NEON.D03.OSBS.DP1.00033,EN,1000,falling,gcc_90,2017-11-05,2017-10-27,2017-10-11,2017-11-08,2017-11-01,2017-10-16,2017-10-31,2017-10-22,2017-10-05,0.39869,0.40276,0.40955,0.39643,0.42261
