"date","pixel","evi_raw","evi_qc","type","evi_filtered"
2000-02-18,"44_43",0.2744,4160,"TERA",NA
2000-03-05,"44_43",0.2531,4160,"TERA",NA
2000-03-21,"44_43",0.2821,4160,"TERA",NA
2000-04-06,"44_43",0.3165,4160,"TERA",NA
2000-04-22,"44_43",0.3483,4160,"TERA",NA
2000-05-08,"44_43",0.3467,4160,"TERA",NA
2000-05-24,"44_43",0.4044,37053,"TERA",NA
2000-06-09,"44_43",0.4273,4365,"TERA",NA
2000-06-25,"44_43",0.3979,4285,"TERA",NA
2000-07-11,"44_43",0.3518,4349,"TERA",NA
2000-07-27,"44_43",0.1708,4106,"TERA",NA
2000-08-12,"44_43",0.344,37141,"TERA",NA
2000-08-28,"44_43",0.4391,5342,"TERA",NA
2000-09-13,"44_43",0.3174,4229,"TERA",NA
2000-09-29,"44_43",0.3296,4160,"TERA",NA
2000-10-15,"44_43",0.3157,4160,"TERA",NA
2000-10-31,"44_43",0.3096,4160,"TERA",NA
2000-11-16,"44_43",0.3229,4160,"TERA",NA
2000-12-02,"44_43",0.288,4160,"TERA",NA
2000-12-18,"44_43",0.3044,4164,"TERA",NA
2001-01-01,"44_43",0.2703,4160,"TERA",NA
2001-01-17,"44_43",0.2682,4160,"TERA",NA
2001-02-02,"44_43",0.2639,4160,"TERA",NA
2001-02-18,"44_43",0.2473,4160,"TERA",NA
2001-03-06,"44_43",0.2556,4160,"TERA",NA
2001-03-22,"44_43",0.3761,4160,"TERA",NA
2001-04-07,"44_43",0.4057,4160,"TERA",NA
2001-04-23,"44_43",0.3982,4160,"TERA",NA
2001-05-09,"44_43",0.4096,4160,"TERA",NA
2001-05-25,"44_43",0.3459,4301,"TERA",NA
2001-06-10,"44_43",0.3597,4365,"TERA",NA
2001-06-26,"44_43",0.4009,4301,"TERA",NA
2001-07-12,"44_43",0.246,4110,"TERA",NA
2001-07-28,"44_43",0.3173,37141,"TERA",NA
2001-08-13,"44_43",0.3131,4160,"TERA",NA
2001-08-29,"44_43",0.3971,4305,"TERA",NA
2001-09-14,"44_43",0.2968,4160,"TERA",NA
2001-09-30,"44_43",0.289,4160,"TERA",NA
2001-10-16,"44_43",0.281,4160,"TERA",NA
2001-11-01,"44_43",0.2904,4160,"TERA",NA
2001-11-17,"44_43",0.26,4160,"TERA",NA
2001-12-03,"44_43",0.268,4160,"TERA",NA
2001-12-19,"44_43",0.2638,4164,"TERA",NA
2002-01-01,"44_43",0.2659,4160,"TERA",NA
2002-01-17,"44_43",0.2641,4160,"TERA",NA
2002-02-02,"44_43",0.2643,4160,"TERA",NA
2002-02-18,"44_43",0.2705,4160,"TERA",NA
2002-03-06,"44_43",0.2926,4160,"TERA",NA
2002-03-22,"44_43",0.3473,4233,"TERA",NA
