"date","pixel","ndvi_raw","ndvi_qc","type","ndvi_filtered"
2000-02-18,"44_43",0.5063,4160,"TERA",NA
2000-03-05,"44_43",0.491,4160,"TERA",NA
2000-03-21,"44_43",0.518,4160,"TERA",NA
2000-04-06,"44_43",0.5779,4160,"TERA",NA
2000-04-22,"44_43",0.5933,4160,"TERA",NA
2000-05-08,"44_43",0.5489,4160,"TERA",NA
2000-05-24,"44_43",0.6202,37053,"TERA",NA
2000-06-09,"44_43",0.5858,4365,"TERA",NA
2000-06-25,"44_43",0.6331,4285,"TERA",NA
2000-07-11,"44_43",0.6623,4349,"TERA",NA
2000-07-27,"44_43",0.416,4106,"TERA",NA
2000-08-12,"44_43",0.6398,37141,"TERA",NA
2000-08-28,"44_43",0.6341,5342,"TERA",NA
2000-09-13,"44_43",0.6803,4229,"TERA",NA
2000-09-29,"44_43",0.6291,4160,"TERA",NA
2000-10-15,"44_43",0.6544,4160,"TERA",NA
2000-10-31,"44_43",0.6452,4160,"TERA",NA
2000-11-16,"44_43",0.6436,4160,"TERA",NA
2000-12-02,"44_43",0.5909,4160,"TERA",NA
2000-12-18,"44_43",0.5757,4164,"TERA",NA
2001-01-01,"44_43",0.5479,4160,"TERA",NA
2001-01-17,"44_43",0.5445,4160,"TERA",NA
2001-02-02,"44_43",0.5312,4160,"TERA",NA
2001-02-18,"44_43",0.5185,4160,"TERA",NA
2001-03-06,"44_43",0.5219,4160,"TERA",NA
2001-03-22,"44_43",0.6217,4160,"TERA",NA
2001-04-07,"44_43",0.6868,4160,"TERA",NA
2001-04-23,"44_43",0.6718,4160,"TERA",NA
2001-05-09,"44_43",0.6316,4160,"TERA",NA
2001-05-25,"44_43",0.7244,4301,"TERA",NA
2001-06-10,"44_43",0.6224,4365,"TERA",NA
2001-06-26,"44_43",0.6694,4301,"TERA",NA
2001-07-12,"44_43",0.242,4110,"TERA",NA
2001-07-28,"44_43",0.6296,37141,"TERA",NA
2001-08-13,"44_43",0.6791,4160,"TERA",NA
2001-08-29,"44_43",0.7139,4305,"TERA",NA
2001-09-14,"44_43",0.6157,4160,"TERA",NA
2001-09-30,"44_43",0.6559,4160,"TERA",NA
