"dates","layer","pixel","year","value"
2001-03-02,"Greenup","44_43","2001",NA
2002-03-19,"Greenup","44_43","2002",NA
NA,"Greenup","44_43","2003",NA
NA,"Greenup","44_43","2004",NA
2005-03-24,"Greenup","44_43","2005",NA
NA,"Greenup","44_43","2006",NA
NA,"Greenup","44_43","2007",NA
NA,"Greenup","44_43","2008",NA
NA,"Greenup","44_43","2009",NA
2010-03-31,"Greenup","44_43","2010",NA
NA,"Greenup","44_43","2011",NA
NA,"Greenup","44_43","2012",NA
NA,"Greenup","44_43","2013",NA
NA,"Greenup","44_43","2014",NA
NA,"Greenup","44_43","2015",NA
NA,"Greenup","44_43","2016",NA
NA,"Greenup","44_43","2017",NA
2001-02-26,"Greenup","44_44","2001",NA
NA,"Greenup","44_44","2002",NA
NA,"Greenup","44_44","2003",NA
NA,"Greenup","44_44","2004",NA
NA,"Greenup","44_44","2005",NA
NA,"Greenup","44_44","2006",NA
NA,"Greenup","44_44","2007",NA
NA,"Greenup","44_44","2008",NA
2009-03-22,"Greenup","44_44","2009",NA
NA,"Greenup","44_44","2010",NA
NA,"Greenup","44_44","2011",NA
NA,"Greenup","44_44","2012",NA
NA,"Greenup","44_44","2013",NA
NA,"Greenup","44_44","2014",NA
NA,"Greenup","44_44","2015",NA
NA,"Greenup","44_44","2016",NA
NA,"Greenup","44_44","2017",NA
2001-02-26,"Greenup","43_44","2001",NA
NA,"Greenup","43_44","2002",NA
NA,"Greenup","43_44","2003",NA
NA,"Greenup","43_44","2004",NA
NA,"Greenup","43_44","2005",NA
NA,"Greenup","43_44","2006",NA
NA,"Greenup","43_44","2007",NA
NA,"Greenup","43_44","2008",NA
2009-03-22,"Greenup","43_44","2009",NA
NA,"Greenup","43_44","2010",NA
NA,"Greenup","43_44","2011",NA
NA,"Greenup","43_44","2012",NA
NA,"Greenup","43_44","2013",NA
NA,"Greenup","43_44","2014",NA
NA,"Greenup","43_44","2015",NA
NA,"Greenup","43_44","2016",NA
NA,"Greenup","43_44","2017",NA
2001-02-26,"Greenup","43_43","2001",NA
NA,"Greenup","43_43","2002",NA
NA,"Greenup","43_43","2003",NA
NA,"Greenup","43_43","2004",NA
NA,"Greenup","43_43","2005",NA
NA,"Greenup","43_43","2006",NA
NA,"Greenup","43_43","2007",NA
NA,"Greenup","43_43","2008",NA
2009-03-22,"Greenup","43_43","2009",NA
NA,"Greenup","43_43","2010",NA
NA,"Greenup","43_43","2011",NA
NA,"Greenup","43_43","2012",NA
NA,"Greenup","43_43","2013",NA
NA,"Greenup","43_43","2014",NA
NA,"Greenup","43_43","2015",NA
NA,"Greenup","43_43","2016",NA
NA,"Greenup","43_43","2017",NA
2001-03-02,"Greenup","45_43","2001",NA
2002-03-19,"Greenup","45_43","2002",NA
