Category,ID,Latitude,Longitude,Date,MODIS_Tile,MYD13Q1_006_Line_Y_250m,MYD13Q1_006_Sample_X_250m,MYD13Q1_006__250m_16_days_NDVI,MYD13Q1_006__250m_16_days_VI_Quality,MYD13Q1_006__250m_16_days_VI_Quality_bitmask,MYD13Q1_006__250m_16_days_VI_Quality_MODLAND,MYD13Q1_006__250m_16_days_VI_Quality_MODLAND_Description,MYD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness,MYD13Q1_006__250m_16_days_VI_Quality_VI_Usefulness_Description,MYD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity,MYD13Q1_006__250m_16_days_VI_Quality_Aerosol_Quantity_Description,MYD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected,MYD13Q1_006__250m_16_days_VI_Quality_Adjacent_cloud_detected_Description,MYD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction,MYD13Q1_006__250m_16_days_VI_Quality_Atmosphere_BRDF_Correction_Description,MYD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds,MYD13Q1_006__250m_16_days_VI_Quality_Mixed_Clouds_Description,MYD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask,MYD13Q1_006__250m_16_days_VI_Quality_Land/Water_Mask_Description,MYD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice,MYD13Q1_006__250m_16_days_VI_Quality_Possible_snow/ice_Description,MYD13Q1_006__250m_16_days_VI_Quality_Possible_shadow,MYD13Q1_006__250m_16_days_VI_Quality_Possible_shadow_Description
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2011-12-27,h12v04,3580.0,3273.0,0.644,2193.0,0b0000100010010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-01-09,h12v04,3580.0,3273.0,0.7109,35101.0,0b1000100100011101,0b01,"VI produced, but check other QA",0b0111,Decreasing quality,0b00,Climatology,0b1,Yes,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b1,Yes
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-01-25,h12v04,3580.0,3273.0,0.7556,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-02-10,h12v04,3580.0,3273.0,0.7098,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-02-26,h12v04,3580.0,3273.0,0.6527,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-03-13,h12v04,3580.0,3273.0,0.7043,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-03-29,h12v04,3580.0,3273.0,0.7115,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-04-14,h12v04,3580.0,3273.0,0.6753,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-04-30,h12v04,3580.0,3273.0,0.7708,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-05-16,h12v04,3580.0,3273.0,0.8385,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-06-01,h12v04,3580.0,3273.0,0.914,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-06-17,h12v04,3580.0,3273.0,0.9321,2185.0,0b0000100010001001,0b01,"VI produced, but check other QA",0b0010,Decreasing quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-07-03,h12v04,3580.0,3273.0,0.9334,2181.0,0b0000100010000101,0b01,"VI produced, but check other QA",0b0001,Lower quality,0b10,Average,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-07-19,h12v04,3580.0,3273.0,0.9106,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-08-04,h12v04,3580.0,3273.0,0.8711,2257.0,0b0000100011010001,0b01,"VI produced, but check other QA",0b0100,Decreasing quality,0b11,High,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-08-20,h12v04,3580.0,3273.0,0.8819,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-09-05,h12v04,3580.0,3273.0,0.859,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-09-21,h12v04,3580.0,3273.0,0.7325,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-10-07,h12v04,3580.0,3273.0,0.6587,2112.0,0b0000100001000000,0b00,VI produced with good quality,0b0000,Highest quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-10-23,h12v04,3580.0,3273.0,0.699,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-11-08,h12v04,3580.0,3273.0,0.6654,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-11-24,h12v04,3580.0,3273.0,0.7192,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
NEON.D01.HARV.DP1.00033,4243,42.5395987111944,-72.1758651895385,2012-12-10,h12v04,3580.0,3273.0,0.7518,2116.0,0b0000100001000100,0b00,VI produced with good quality,0b0001,Lower quality,0b01,Low,0b0,No,0b0,No,0b0,No,0b001,Land (Nothing else but land),0b0,No,0b0,No
