"siteName","sciName","plotType","year","first_yes_sample_size","last_yes_sample_size","phenophase_description","mean_first_yes_doy","mean_last_yes_doy","firstYesDate","lastYesDate"
"ABBY","Corylus cornuta"," primary",2016,8,11,"Breaking leaf buds",217,191,2016-08-04,2016-07-09
"ABBY","Corylus cornuta"," primary",2017,30,30,"Breaking leaf buds",101,182,2017-04-11,2017-07-01
"ABBY","Corylus cornuta"," phenocam",2017,2,3,"Breaking leaf buds",174,180,2017-06-23,2017-06-29
"ABBY","Corylus cornuta"," primary",2018,30,22,"Breaking leaf buds",107,151,2018-04-17,2018-05-31
"ABBY","Corylus cornuta"," phenocam",2018,1,0,"Breaking leaf buds",116,-9999,2018-04-26,1990-08-16
"ABBY","Corylus cornuta"," primary",2019,30,30,"Breaking leaf buds",93,168,2019-04-03,2019-06-17
"ABBY","Gaultheria shallon"," primary",2016,7,6,"Breaking leaf buds",131,132,2016-05-10,2016-05-11
"ABBY","Gaultheria shallon"," primary",2017,30,30,"Breaking leaf buds",133,165,2017-05-13,2017-06-14
"ABBY","Gaultheria shallon"," phenocam",2017,3,3,"Breaking leaf buds",156,166,2017-06-05,2017-06-15
"ABBY","Gaultheria shallon"," primary",2018,30,30,"Breaking leaf buds",132,159,2018-05-12,2018-06-08
"ABBY","Gaultheria shallon"," phenocam",2018,1,1,"Breaking leaf buds",137,162,2018-05-17,2018-06-11
"ABBY","Gaultheria shallon"," primary",2019,30,30,"Breaking leaf buds",140,160,2019-05-20,2019-06-09
"ABBY","Gaultheria shallon"," phenocam",2019,1,1,"Breaking leaf buds",151,157,2019-05-31,2019-06-06
"ABBY","Pseudotsuga menziesii"," primary",2016,15,0,"Breaking needle buds (conifers)",112,-9999,2016-04-21,1988-08-15
"ABBY","Pseudotsuga menziesii"," primary",2017,30,30,"Breaking needle buds (conifers)",133,162,2017-05-13,2017-06-11
"ABBY","Pseudotsuga menziesii"," phenocam",2017,2,3,"Breaking needle buds (conifers)",160,162,2017-06-09,2017-06-11
"ABBY","Pseudotsuga menziesii"," primary",2018,30,29,"Breaking needle buds (conifers)",130,151,2018-05-10,2018-05-31
"ABBY","Pseudotsuga menziesii"," phenocam",2018,3,3,"Breaking needle buds (conifers)",133,154,2018-05-13,2018-06-03
"ABBY","Pseudotsuga menziesii"," primary",2019,30,30,"Breaking needle buds (conifers)",133,152,2019-05-13,2019-06-01
"ABBY","Pseudotsuga menziesii"," phenocam",2019,3,3,"Breaking needle buds (conifers)",131,157,2019-05-11,2019-06-06
"DSNY","Andropogon virginicus"," primary",2014,30,30,"Initial growth (grasses/sedges)",267,314,2014-09-24,2014-11-10
"DSNY","Andropogon virginicus"," primary",2015,30,30,"Initial growth (grasses/sedges)",56,140,2015-02-25,2015-05-20
"DSNY","Andropogon virginicus"," primary",2016,30,30,"Initial growth (grasses/sedges)",82,207,2016-03-22,2016-07-25
"DSNY","Andropogon virginicus"," primary",2017,42,41,"Initial growth (grasses/sedges)",120,173,2017-04-30,2017-06-22
"DSNY","Andropogon virginicus"," primary",2018,30,30,"Initial growth (grasses/sedges)",38,113,2018-02-07,2018-04-23
"DSNY","Andropogon virginicus"," primary",2019,30,30,"Initial growth (grasses/sedges)",54,113,2019-02-23,2019-04-23
"DSNY","Aristida stricta"," primary",2014,30,30,"Initial growth (grasses/sedges)",121,229,2014-05-01,2014-08-17
"DSNY","Aristida stricta"," primary",2015,30,30,"Initial growth (grasses/sedges)",64,130,2015-03-05,2015-05-10
"DSNY","Aristida stricta"," primary",2016,30,30,"Initial growth (grasses/sedges)",111,198,2016-04-20,2016-07-16
"DSNY","Aristida stricta"," primary",2017,21,21,"Initial growth (grasses/sedges)",135,181,2017-05-15,2017-06-30
"DSNY","Aristida stricta"," primary",2018,28,28,"Initial growth (grasses/sedges)",46,101,2018-02-15,2018-04-11
"DSNY","Aristida stricta"," primary",2019,29,30,"Initial growth (grasses/sedges)",68,115,2019-03-09,2019-04-25
"DSNY","Asimina reticulata"," primary",2014,31,31,"Breaking leaf buds",110,202,2014-04-20,2014-07-21
"DSNY","Euthamia graminifolia"," primary",2014,31,31,"Initial growth (forbs)",138,242,2014-05-18,2014-08-30
"DSNY","Euthamia graminifolia"," phenocam",2014,4,4,"Initial growth (forbs)",226,261,2014-08-14,2014-09-18
"DSNY","Euthamia graminifolia"," primary",2015,28,28,"Initial growth (forbs)",107,137,2015-04-17,2015-05-17
"DSNY","Euthamia graminifolia"," phenocam",2015,4,4,"Initial growth (forbs)",75,108,2015-03-16,2015-04-18
"DSNY","Euthamia graminifolia"," primary",2016,29,30,"Initial growth (forbs)",154,165,2016-06-02,2016-06-13
